input,full_loss,oracle_loss,quality_gap,full_path,oracle_path,full_cost,oracle_cost,compute_saving,full_latency_ms,oracle_latency_ms,speedup,feasible
0,3.5874979496002197,3.6074838638305664,0.01998591423034668,"512,512,512,512","0,128,256,256",0.272,0.172,0.36764705882352955,0.8944999999584979,0.7298749997062259,1.225552321039265,1
1,3.5390665531158447,3.5574638843536377,0.01839733123779297,"512,512,512,512","256,0,256,512",0.272,0.194,0.2867647058823529,0.8613339996372815,0.7528340001954348,1.1441220765981348,1
2,3.3616139888763428,3.3319265842437744,-0.02968740463256836,"512,512,512,512","0,0,0,0",0.272,0.0,1.0,0.8390410002903081,0.5670419996022247,1.4796805190424847,1
3,3.1068882942199707,3.0954551696777344,-0.011433124542236328,"512,512,512,512","0,0,0,0",0.272,0.0,1.0,0.8085830004347372,0.6264169996939017,1.290806285317689,1
4,3.4954488277435303,3.4759058952331543,-0.019542932510375977,"512,512,512,512","0,0,0,0",0.272,0.0,1.0,0.8195000000341679,0.5733329999202397,1.429361296398732,1
5,3.4168100357055664,3.4347586631774902,0.017948627471923828,"512,512,512,512","0,0,64,512",0.272,0.096,0.6470588235294118,0.8129999996526749,0.7126669997887802,1.1407852473786935,1
6,3.2155418395996094,3.214657783508301,-0.0008840560913085938,"512,512,512,512","0,0,0,0",0.272,0.0,1.0,0.8333340001627221,0.564332999601902,1.4766706904444393,1
7,3.192936897277832,3.156222105026245,-0.036714792251586914,"512,512,512,512","0,0,0,0",0.272,0.0,1.0,0.8266669992735842,0.5208749998928397,1.5870736730379755,1
8,3.3241517543792725,3.2508888244628906,-0.07326292991638184,"512,512,512,512","0,0,0,0",0.272,0.0,1.0,0.9154170002148021,0.5661250006596674,1.6169874129355322,1
9,3.5959908962249756,3.6131319999694824,0.017141103744506836,"512,512,512,512","0,0,512,512",0.272,0.136,0.5,0.8172909992936184,0.7741669996903511,1.055703743017354,1
10,3.4921605587005615,3.508223056793213,0.016062498092651367,"512,512,512,512","128,128,512,512",0.272,0.228,0.16176470588235292,0.9268750000046566,0.8233750004364992,1.1257021399888125,1
11,3.039520740509033,3.055020332336426,0.015499591827392578,"512,512,512,512","0,0,0,0",0.272,0.0,1.0,0.8157080001183203,0.5645410001307027,1.4449047986407848,1
12,3.321650505065918,3.3412163257598877,0.019565820693969727,"512,512,512,512","128,64,64,0",0.272,0.10200000000000001,0.625,1.1676660005832673,0.7193330002337461,1.6232621055948164,1
13,3.0797338485717773,3.0764386653900146,-0.0032951831817626953,"512,512,512,512","0,0,0,0",0.272,0.0,1.0,0.8367919999727746,0.5724580005335156,1.4617526511864745,1
14,3.37943959236145,3.3991456031799316,0.019706010818481445,"512,512,512,512","64,0,256,512",0.272,0.159,0.4154411764705883,0.8628330006104079,0.7157500003813766,1.205494935592959,1
15,3.1631035804748535,3.182758331298828,0.01965475082397461,"512,512,512,512","0,64,128,512",0.272,0.14200000000000002,0.4779411764705882,0.9244580005542957,0.6921670001247548,1.335599646310317,1
