step,ppl,full_ppl,average_compute,expected_compute,average_active_layers,average_width,unique_paths,top1_coverage,top4_coverage,top8_coverage,top16_coverage,router_entropy,router_confidence,collapse_warning
0,69.07980247796895,68.1861456787166,1.65625,1.4798650741577148,3.71875,212.0,14,0.1875,0.5,0.75,1.0,1.605337381362915,0.22216805815696716,
100,12.885565861985155,12.880614494341902,3.484375,3.1503124237060547,4.0,446.0,2,0.96875,1.0,1.0,1.0,0.7173423767089844,0.6922256946563721,single_path
200,11.728998342287367,11.759653441885579,3.15625,3.1427221298217773,4.0,404.0,3,0.65625,1.0,1.0,1.0,0.43422433733940125,0.8105285167694092,
300,10.763115928817893,10.81084877454393,2.5625,2.583820343017578,4.0,328.0,2,0.875,1.0,1.0,1.0,0.08302579820156097,0.973933219909668,
400,10.000603536971605,10.020350952004293,2.5,2.5069875717163086,4.0,320.0,1,1.0,1.0,1.0,1.0,0.018193582072854042,0.9960126876831055,single_path
500,9.138587357175599,9.162941797072422,2.53125,2.5365102291107178,4.0,324.0,2,0.9375,1.0,1.0,1.0,0.017679257318377495,0.9935479164123535,
600,8.340777638800576,8.38542136352149,2.5,2.500330924987793,4.0,320.0,1,1.0,1.0,1.0,1.0,0.002486593322828412,0.9996837377548218,single_path
700,7.821817560234115,7.8685596856798785,2.5,2.498849868774414,4.0,320.0,1,1.0,1.0,1.0,1.0,0.012977429665625095,0.9977000951766968,single_path
800,7.689213674622022,7.699330705961613,2.25,2.2525439262390137,4.0,288.0,1,1.0,1.0,1.0,1.0,0.010367535054683685,0.9980255365371704,single_path
900,7.1196906735001475,7.151189588982104,2.25,2.2503347396850586,4.0,288.0,1,1.0,1.0,1.0,1.0,0.002347031608223915,0.9996762275695801,single_path
1000,7.016235421842971,7.044463694720784,2.25,2.2500381469726562,4.0,288.0,1,1.0,1.0,1.0,1.0,0.00034233208862133324,0.9999637603759766,single_path
1100,6.71324564485007,6.7440710079179205,2.25,2.25001859664917,4.0,288.0,1,1.0,1.0,1.0,1.0,0.00020009215222671628,0.9999806880950928,single_path
1200,6.514150604207692,6.5276111847323595,2.25,2.250009059906006,4.0,288.0,1,1.0,1.0,1.0,1.0,0.00013102928642183542,0.9999880194664001,single_path
1300,6.761459638205829,6.7767810399219615,2.25,2.2500522136688232,4.0,288.0,1,1.0,1.0,1.0,1.0,0.0005221313913352787,0.9999303817749023,single_path
1400,6.1730964172433955,6.196593114284478,2.25,2.249995231628418,4.0,288.0,1,1.0,1.0,1.0,1.0,0.0002957268734462559,0.9999669790267944,single_path
1500,6.519274724266542,6.523137566872831,2.25,2.2500064373016357,4.0,288.0,1,1.0,1.0,1.0,1.0,0.00013440201291814446,0.9999880790710449,single_path
1600,6.095314672393813,6.1060439016441235,2.25,2.250091075897217,4.0,288.0,1,1.0,1.0,1.0,1.0,0.0008764038793742657,0.9998992681503296,single_path
1700,6.009270562060984,5.96491183295131,2.25,2.25234317779541,4.0,288.0,1,1.0,1.0,1.0,1.0,0.005509720649570227,0.9986361265182495,single_path
1800,6.207479158384569,6.252642141213683,2.25,2.2501208782196045,4.0,288.0,1,1.0,1.0,1.0,1.0,0.0009223251254297793,0.9998894333839417,single_path
1900,5.90351878463409,5.902621566113555,2.265625,2.264460802078247,4.0,290.0,2,0.96875,1.0,1.0,1.0,0.013335639610886574,0.9965234398841858,single_path
2000,5.956157844683557,5.954233266134864,2.265625,2.2723610401153564,4.0,290.0,2,0.96875,1.0,1.0,1.0,0.03680334985256195,0.9879863858222961,single_path
2100,5.878293274972411,5.863167520390129,2.265625,2.2723193168640137,4.0,290.0,2,0.96875,1.0,1.0,1.0,0.03975561261177063,0.9884804487228394,single_path
2200,6.05798175209723,6.036639659627825,2.25,2.271233081817627,4.0,288.0,1,1.0,1.0,1.0,1.0,0.040312327444553375,0.9892793297767639,single_path
2300,6.221825601786769,6.181111783881142,2.25,2.2649848461151123,4.0,288.0,1,1.0,1.0,1.0,1.0,0.03312522545456886,0.9924570918083191,single_path
2400,5.584974013635039,5.488835456348038,2.25,2.272458076477051,4.0,288.0,1,1.0,1.0,1.0,1.0,0.04475869983434677,0.9882307052612305,single_path
2500,5.5903527818946595,5.522019757400336,2.25,2.2679433822631836,4.0,288.0,1,1.0,1.0,1.0,1.0,0.03822259232401848,0.9908814430236816,single_path
2600,5.440457482923652,5.340754197624541,2.25,2.267512083053589,4.0,288.0,1,1.0,1.0,1.0,1.0,0.038115765899419785,0.9911779761314392,single_path
2700,5.451657183988369,5.3693243984601216,2.25,2.2769763469696045,4.0,288.0,1,1.0,1.0,1.0,1.0,0.05173243209719658,0.9863876104354858,single_path
2800,5.630850616325931,5.577449771742367,2.25,2.275045156478882,4.0,288.0,1,1.0,1.0,1.0,1.0,0.04951462894678116,0.9873383045196533,single_path
2900,5.180166819276012,5.114964396465092,2.25,2.269455909729004,4.0,288.0,1,1.0,1.0,1.0,1.0,0.04127095639705658,0.9901841878890991,single_path
3000,5.317313395407329,5.247351882563456,2.25,2.268714666366577,4.0,288.0,1,1.0,1.0,1.0,1.0,0.040094152092933655,0.9905862808227539,single_path
