checkpoint,iter,kind,bucket,count,mean_width,run
ckpt_iter_100.pt,100,unigram,high,1136,256.3098591549296,B_dynamic_cost0
ckpt_iter_100.pt,100,unigram,medium,17,323.7647058823529,B_dynamic_cost0
ckpt_iter_100.pt,100,unigram,very_high,7039,319.52834209404745,B_dynamic_cost0
ckpt_iter_100.pt,100,bigram,high,5004,324.47162270183856,B_dynamic_cost0
ckpt_iter_100.pt,100,bigram,low,248,210.4516129032258,B_dynamic_cost0
ckpt_iter_100.pt,100,bigram,medium,1358,255.8762886597938,B_dynamic_cost0
ckpt_iter_100.pt,100,bigram,rare,35,168.22857142857143,B_dynamic_cost0
ckpt_iter_100.pt,100,bigram,very_high,1547,333.9469941822883,B_dynamic_cost0
ckpt_iter_100.pt,100,stable_unigram,high,1136,302.19718309859155,B_dynamic_cost0
ckpt_iter_100.pt,100,stable_unigram,medium,17,312.47058823529414,B_dynamic_cost0
ckpt_iter_100.pt,100,stable_unigram,very_high,7039,241.93436567694275,B_dynamic_cost0
ckpt_iter_100.pt,100,stable_bigram,high,5004,257.07434052757793,B_dynamic_cost0
ckpt_iter_100.pt,100,stable_bigram,low,248,345.03225806451616,B_dynamic_cost0
ckpt_iter_100.pt,100,stable_bigram,medium,1358,261.6082474226804,B_dynamic_cost0
ckpt_iter_100.pt,100,stable_bigram,rare,35,404.1142857142857,B_dynamic_cost0
ckpt_iter_100.pt,100,stable_bigram,very_high,1547,200.52230122818358,B_dynamic_cost0
ckpt_iter_300.pt,300,unigram,high,1136,226.0281690140845,B_dynamic_cost0
ckpt_iter_300.pt,300,unigram,medium,17,319.05882352941177,B_dynamic_cost0
ckpt_iter_300.pt,300,unigram,very_high,7039,263.751101008666,B_dynamic_cost0
ckpt_iter_300.pt,300,bigram,high,5004,269.2486011191047,B_dynamic_cost0
ckpt_iter_300.pt,300,bigram,low,248,196.70967741935485,B_dynamic_cost0
ckpt_iter_300.pt,300,bigram,medium,1358,212.15316642120766,B_dynamic_cost0
ckpt_iter_300.pt,300,bigram,rare,35,183.0857142857143,B_dynamic_cost0
ckpt_iter_300.pt,300,bigram,very_high,1547,276.7420814479638,B_dynamic_cost0
ckpt_iter_300.pt,300,stable_unigram,high,1136,424.056338028169,B_dynamic_cost0
ckpt_iter_300.pt,300,stable_unigram,medium,17,440.47058823529414,B_dynamic_cost0
ckpt_iter_300.pt,300,stable_unigram,very_high,7039,325.3098451484586,B_dynamic_cost0
ckpt_iter_300.pt,300,stable_bigram,high,5004,341.88329336530774,B_dynamic_cost0
ckpt_iter_300.pt,300,stable_bigram,low,248,387.61290322580646,B_dynamic_cost0
ckpt_iter_300.pt,300,stable_bigram,medium,1358,368.91899852724595,B_dynamic_cost0
ckpt_iter_300.pt,300,stable_bigram,rare,35,444.34285714285716,B_dynamic_cost0
ckpt_iter_300.pt,300,stable_bigram,very_high,1547,294.5158371040724,B_dynamic_cost0
ckpt_iter_500.pt,500,unigram,high,1136,188.3943661971831,B_dynamic_cost0
ckpt_iter_500.pt,500,unigram,medium,17,247.52941176470588,B_dynamic_cost0
ckpt_iter_500.pt,500,unigram,very_high,7039,207.47833499076575,B_dynamic_cost0
ckpt_iter_500.pt,500,bigram,high,5004,211.44524380495602,B_dynamic_cost0
ckpt_iter_500.pt,500,bigram,low,248,176.67741935483872,B_dynamic_cost0
ckpt_iter_500.pt,500,bigram,medium,1358,182.1620029455081,B_dynamic_cost0
ckpt_iter_500.pt,500,bigram,rare,35,159.77142857142857,B_dynamic_cost0
ckpt_iter_500.pt,500,bigram,very_high,1547,209.31351001939237,B_dynamic_cost0
ckpt_iter_500.pt,500,stable_unigram,high,1136,446.7042253521127,B_dynamic_cost0
ckpt_iter_500.pt,500,stable_unigram,medium,17,451.7647058823529,B_dynamic_cost0
ckpt_iter_500.pt,500,stable_unigram,very_high,7039,367.2976275039068,B_dynamic_cost0
ckpt_iter_500.pt,500,stable_bigram,high,5004,384.14068745004,B_dynamic_cost0
