layer,head,unique_masks,top1_coverage,top4_coverage,mask_entropy,conditional_mask_entropy_token,mask_token_mutual_information,most_common_mask_id
0,0,2,0.9991455078125,1.0,0.006891117042565641,0.004205773801603173,0.0026853432409624676,9
0,1,1,1.0,1.0,-0.0,0.0,-0.0,9
0,2,1,1.0,1.0,-0.0,0.0,-0.0,9
0,3,1,1.0,1.0,-0.0,0.0,-0.0,9
1,0,3,0.5557861328125,1.0,0.9898149596080945,0.1779977271599446,0.8118172324481499,9
1,1,3,0.5361328125,1.0,0.9820493016667631,0.2578505840245469,0.7241987176422162,8
1,2,3,0.49853515625,1.0,1.0357516255318098,0.29283231636627044,0.7429193091655393,9
1,3,3,0.412353515625,1.0,1.0752903488532957,0.19108327057971883,0.8842070782735768,8
2,0,7,0.5802001953125,0.88623046875,1.3503400899105193,0.27109222924532406,1.0792478606651952,8
2,1,7,0.4482421875,0.85498046875,1.5550906927512476,0.4521088445351318,1.1029818482161158,8
2,2,7,0.2696533203125,0.87158203125,1.6236634242114674,0.361468189827111,1.2621952343843563,3
2,3,7,0.42041015625,0.86572265625,1.5914219449336906,0.35030301398469604,1.2411189309489945,8
3,0,13,0.550048828125,0.806640625,1.6038173898367603,0.3125615343601142,1.291255855476646,8
3,1,12,0.473876953125,0.8253173828125,1.6402672607092994,0.3301245058975854,1.310142754811714,4
3,2,10,0.6502685546875,0.8594970703125,1.3260206198884008,0.3270620343967185,0.9989585854916823,8
3,3,15,0.52978515625,0.822265625,1.6048014358297007,0.43064000714859013,1.1741614286811106,3
