request,layer,head,learned_nll,frozen_learned_mask_nll,oracle_nll,oracle_gain_vs_frozen_mask,oracle_mask_id,oracle_fanin
0,0,0,2.38387393951416,2.384561061859131,2.384561061859131,0.0,1,1
0,0,1,2.38387393951416,2.384561061859131,2.384561061859131,0.0,1,1
0,0,2,2.38387393951416,2.384561061859131,2.384561061859131,0.0,1,1
0,0,3,2.38387393951416,2.384561061859131,2.384561061859131,0.0,1,1
0,1,0,2.38387393951416,2.384561061859131,2.383643865585327,0.0009171962738037109,8,1
0,1,1,2.38387393951416,2.384561061859131,2.382944345474243,0.0016167163848876953,8,1
0,1,2,2.38387393951416,2.384561061859131,2.383814811706543,0.0007462501525878906,8,1
0,1,3,2.38387393951416,2.384561061859131,2.38484525680542,-0.0002841949462890625,8,1
0,2,0,2.38387393951416,2.384561061859131,2.3851191997528076,-0.0005581378936767578,8,1
0,2,1,2.38387393951416,2.384561061859131,2.378126859664917,0.006434202194213867,8,1
0,2,2,2.38387393951416,2.384561061859131,2.3808822631835938,0.0036787986755371094,9,2
0,2,3,2.38387393951416,2.384561061859131,2.383788824081421,0.0007722377777099609,8,1
0,3,0,2.38387393951416,2.384561061859131,2.3859941959381104,-0.0014331340789794922,11,3
0,3,1,2.38387393951416,2.384561061859131,2.38381028175354,0.0007507801055908203,8,1
0,3,2,2.38387393951416,2.384561061859131,2.3829286098480225,0.0016324520111083984,14,3
0,3,3,2.38387393951416,2.384561061859131,2.3844430446624756,0.00011801719665527344,1,1
