layer,head,current,previous,earlier,anchor,prob_current,prob_previous,prob_earlier,prob_anchor
0,0,1.0,,,0.9991455078125,0.540693998336792,,,0.4593059718608856
0,1,1.0,,,1.0,0.47635507583618164,,,0.5236449241638184
0,2,1.0,,,1.0,0.4882012903690338,,,0.5117987394332886
0,3,1.0,,,1.0,0.48833316564559937,,,0.5116668343544006
1,0,0.74462890625,,,0.8111572265625,0.4741660952568054,,,0.5258339047431946
1,1,0.4638671875,,,0.8505859375,0.28986090421676636,,,0.7101390957832336
1,2,0.7139892578125,,,0.7845458984375,0.4281548857688904,,,0.5718451142311096
1,3,0.587646484375,,,0.759521484375,0.43060851097106934,,,0.5693914890289307
2,0,0.3385009765625,0.212890625,,0.8193359375,0.21713010966777802,0.10557836294174194,,0.6772915124893188
2,1,0.326171875,0.4385986328125,,0.7174072265625,0.1845720410346985,0.20786651968955994,,0.607561469078064
2,2,0.6324462890625,0.5030517578125,,0.4957275390625,0.4723939299583435,0.14767363667488098,,0.3799324333667755
2,3,0.33544921875,0.4749755859375,,0.6524658203125,0.2215709686279297,0.24382108449935913,,0.5346079468727112
3,0,0.3388671875,0.28125,0.217529296875,0.8524169921875,0.16755178570747375,0.07277040928602219,0.11613816767930984,0.6435396671295166
3,1,0.2520751953125,0.1204833984375,0.8712158203125,0.3194580078125,0.061416707932949066,0.009831320494413376,0.7402410507202148,0.1885109543800354
3,2,0.24853515625,0.2286376953125,0.15087890625,0.9107666015625,0.07717108726501465,0.07130823284387589,0.0388917550444603,0.8126289248466492
3,3,0.887939453125,0.6724853515625,0.1617431640625,0.1275634765625,0.5085488557815552,0.3723772466182709,0.07205922901630402,0.047014735639095306
