step,train_loss,val_loss,avg_active_cells,avg_active_edges,avg_fanin,avg_soft_fanin,avg_effective_depth,step_widths,graph_entropy,top1_coverage,top4_coverage,top8_coverage,top16_coverage,unique_graphs,node_usage_entropy,edge_usage_entropy,dead_cell_ratio,node_usage_gini,active_cell_macs,skipped_cell_macs,router_parameters,router_macs_per_token,temperature,exploration,dual_value,router_gradient_norm,node_score_std,edge_score_std,std_active_cells,min_active_cells,max_active_cells,std_depth,min_depth,max_depth,empty_step_fraction
0,4.23444128036499,4.229276180267334,32.0,320.0,10.0,1.0,8.0,"[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]",-0.0,1.0,1.0,1.0,1.0,1,3.465735912322998,5.7683210372924805,0.0,0.0,524288.0,0.0,28072,212224,1.5,0.0,0.0,0.0,0.002251604339107871,0.0013066745596006513,0.0,32.0,32.0,0.0,8.0,8.0,0.0
100,2.612391948699951,2.618549346923828,32.0,300.572265625,9.39288330078125,1.0,7.9755859375,"[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]",3.881720542907715,0.38232421875,0.5048828125,0.55224609375,0.61328125,510,3.465735912322998,5.759364128112793,0.0,0.0,524288.0,0.0,28072,212224,1.375,0.0,0.0,0.020518034089490697,0.03763001412153244,0.05498995631933212,0.0,32.0,32.0,0.15433086454868317,7.0,8.0,0.0
200,2.441054582595825,2.465942859649658,31.2080078125,219.150390625,7.0222487449646,1.0,7.27294921875,"[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.5869140625, 3.62109375]",6.864105224609375,0.09814453125,0.119140625,0.13818359375,0.158203125,1594,3.460175037384033,5.740168571472168,0.0,0.023825962096452713,511312.0,12976.0,28072,212224,1.25,0.0,0.0,0.035968179631807276,0.10995664447546005,2589.083251953125,0.9579510688781738,30.0,32.0,0.9260818958282471,5.0,8.0,0.0
300,2.3452813625335693,2.342578411102295,30.57763671875,174.2119140625,5.697363376617432,0.9999999403953552,6.9921875,"[4.0, 4.0, 4.0, 3.998046875, 3.984375, 3.80322265625, 3.4072265625, 3.384765625]",7.484246253967285,0.00830078125,0.01904296875,0.029296875,0.04541015625,1892,3.458193302154541,5.716634273529053,0.0,0.03994189575314522,500984.0,23304.0,28072,212224,1.125,0.0,0.002347377075195313,0.06261151733975336,0.16664797067642212,4101.38330078125,1.3042253255844116,25.0,32.0,1.0532397031784058,3.0,8.0,0.0
400,2.2554049491882324,2.265322685241699,26.482421875,126.8486328125,4.789918422698975,1.0,6.54150390625,"[3.58447265625, 3.9326171875, 3.01806640625, 3.34765625, 3.7255859375, 3.06689453125, 2.8193359375, 2.98779296875]",7.351663589477539,0.00732421875,0.029296875,0.05078125,0.072265625,1781,3.439812183380127,5.668371200561523,0.0,0.11868155002593994,433888.0,90400.0,28072,212224,1.0,0.0,0.018820184387207037,0.07705386018069393,0.22312818467617035,12637.2431640625,3.9035844802856445,18.0,32.0,1.140190839767456,3.0,8.0,0.0
500,2.1888210773468018,2.2137999534606934,20.15087890625,78.05224609375,3.873391628265381,1.0,5.83837890625,"[2.94384765625, 3.48193359375, 1.88134765625, 2.46923828125, 3.060546875, 2.0234375, 1.54833984375, 2.7421875]",6.956352233886719,0.0400390625,0.08544921875,0.11474609375,0.14794921875,1542,3.3910131454467773,5.573338508605957,0.0,0.21755661070346832,330152.0,194136.0,28072,212224,0.875,0.0,0.036870303527832056,0.10613301751878497,0.26518234610557556,19142.86328125,5.822504043579102,11.0,32.0,1.38869309425354,3.0,8.0,0.06964111328125
600,2.132420539855957,2.1487271785736084,16.26416015625,54.08349609375,3.325317621231079,1.0,5.5009765625,"[2.7314453125, 2.529296875, 1.46630859375, 1.5126953125, 2.85986328125, 1.53271484375, 1.06640625, 2.5654296875]",6.305768966674805,0.060546875,0.17138671875,0.236328125,0.2822265625,1252,3.336108684539795,5.4417033195495605,0.0,0.2869279086589813,266472.0,257816.0,28072,212224,0.75,0.0,0.027717013732910207,0.13297114890838593,0.278200626373291,22097.095703125,5.572939872741699,10.0,32.0,1.2511709928512573,2.0,8.0,0.122802734375
700,2.1003036499023438,2.1141021251678467,15.29345703125,46.27490234375,3.0257976055145264,1.0,5.10693359375,"[2.66259765625, 2.43310546875, 1.3359375, 1.3916015625, 2.796875, 1.24951171875, 0.93408203125, 2.48974609375]",6.335415840148926,0.07763671875,0.1474609375,0.20703125,0.26904296875,1240,3.3075029850006104,5.357613563537598,0.0,0.31300386786460876,250568.0,273720.0,28072,212224,0.625,0.0,0.008150546447753947,0.18596810121817872,0.2585427463054657,22663.615234375,5.015533924102783,9.0,31.0,1.3385767936706543,2.0,8.0,0.1353759765625
800,2.058793544769287,2.1065266132354736,14.92578125,41.42578125,2.775451421737671,1.0,5.02734375,"[2.61181640625, 2.35693359375, 1.14111328125, 1.32861328125, 2.78662109375, 1.392578125, 0.86181640625, 2.4462890625]",6.402589797973633,0.064453125,0.14111328125,0.19970703125,0.2509765625,1260,3.296344757080078,5.310234069824219,0.0,0.3224327862262726,244544.0,279744.0,28072,212224,0.5,0.0,0.0,0.2172885089351742,0.239181250333786,22912.3671875,4.569062232971191,9.0,31.0,1.2640748023986816,2.0,8.0,0.1395263671875
900,2.037896156311035,2.090437173843384,13.9130859375,34.38720703125,2.4715731143951416,1.0,4.830078125,"[2.57421875, 2.16455078125, 1.0146484375, 1.17236328125, 2.67529296875, 1.2216796875, 0.80078125, 2.28955078125]",6.2560319900512695,0.08544921875,0.14501953125,0.21044921875,0.26318359375,1164,3.265540599822998,5.198044300079346,0.0,0.34797239303588867,227952.0,296336.0,28072,212224,0.375,0.0,0.0,0.2552243005759715,0.22898893058300018,23475.052734375,4.041685104370117,8.0,30.0,1.2368186712265015,2.0,8.0,0.16015625
1000,2.0290277004241943,2.0917534828186035,12.1435546875,24.37060546875,2.00687575340271,1.0,4.50244140625,"[2.4013671875, 1.7353515625, 0.80615234375, 0.94384765625, 2.44580078125, 1.07177734375, 0.6884765625, 2.05078125]",6.446016311645508,0.0390625,0.09521484375,0.142578125,0.21240234375,1160,3.2274889945983887,5.012400150299072,0.0,0.37108463048934937,198960.0,325328.0,28072,212224,0.25,0.0,0.0,0.3109922298848088,0.21088694036006927,24449.65625,3.2649741172790527,7.0,27.0,1.1621445417404175,2.0,8.0,0.18878173828125
