step,train_loss,val_loss,avg_active_cells,avg_active_edges,avg_fanin,avg_soft_fanin,avg_effective_depth,step_widths,graph_entropy,top1_coverage,top4_coverage,top8_coverage,top16_coverage,unique_graphs,node_usage_entropy,edge_usage_entropy,dead_cell_ratio,node_usage_gini,active_cell_macs,skipped_cell_macs,router_parameters,router_macs_per_token,temperature,exploration,dual_value,router_gradient_norm,node_score_std,edge_score_std,std_active_cells,min_active_cells,max_active_cells,std_depth,min_depth,max_depth,empty_step_fraction
0,4.23444128036499,4.229276180267334,32.0,320.0,10.0,1.0,8.0,"[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]",-0.0,1.0,1.0,1.0,1.0,1,3.465735912322998,5.7683210372924805,0.0,0.0,524288.0,0.0,28072,212224,1.5,0.0,0.0,0.0,0.002251604339107871,0.0013066745596006513,0.0,32.0,32.0,0.0,8.0,8.0,0.0
100,2.61245059967041,2.618546962738037,32.0,300.95458984375,9.404830932617188,1.0,7.9794921875,"[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]",3.8473424911499023,0.38720703125,0.51123046875,0.55908203125,0.61865234375,510,3.465735912322998,5.75942325592041,0.0,0.0,524288.0,0.0,28072,212224,1.4,0.0,0.0,0.02052051792635144,0.0375923328101635,0.05542682111263275,0.0,32.0,32.0,0.141729474067688,7.0,8.0,0.0
200,2.440481662750244,2.464538812637329,31.212890625,219.982421875,7.047806739807129,0.9999999403953552,7.27001953125,"[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.591796875, 3.62109375]",6.729802131652832,0.12646484375,0.14453125,0.15625,0.173828125,1576,3.460254669189453,5.740522861480713,0.0,0.023670686408877373,511392.0,12896.0,28072,212224,1.3,0.0,0.0,0.03459152539343858,0.11247608065605164,2573.760009765625,0.9573879241943359,30.0,32.0,0.9477767944335938,5.0,8.0,0.0
300,2.345508098602295,2.3433148860931396,30.642578125,177.248046875,5.7843708992004395,1.0,6.98974609375,"[4.0, 4.0, 4.0, 3.99365234375, 3.97802734375, 3.83984375, 3.4189453125, 3.412109375]",7.384352684020996,0.01416015625,0.03369140625,0.0498046875,0.06884765625,1815,3.4585068225860596,5.71912956237793,0.0,0.03839872032403946,502048.0,22240.0,28072,212224,1.2,0.0,0.0,0.06180566702430337,0.166209414601326,3996.35205078125,1.2426280975341797,25.0,32.0,1.0502010583877563,3.0,8.0,0.0
400,2.260807514190674,2.271751880645752,29.69140625,148.03955078125,4.9859395027160645,1.0,6.67919921875,"[4.0, 4.0, 3.99853515625, 3.91796875, 3.8095703125, 3.609375, 3.23291015625, 3.123046875]",7.310461044311523,0.021484375,0.05224609375,0.072265625,0.09326171875,1797,3.454247236251831,5.690021514892578,0.0,0.059334296733140945,486464.0,37824.0,28072,212224,1.1,0.0,0.0006865577043805802,0.07804255469596598,0.19824163615703583,6178.63330078125,1.925995111465454,22.0,32.0,1.229566216468811,3.0,8.0,0.0
500,2.1930556297302246,2.214512586593628,28.64892578125,129.0654296875,4.505070209503174,1.0,6.4013671875,"[3.994140625, 3.99560546875, 3.7509765625, 3.76025390625, 3.5966796875, 3.53076171875, 3.0537109375, 2.966796875]",7.488368511199951,0.005859375,0.01806640625,0.02978515625,0.04541015625,1897,3.4535484313964844,5.6572160720825195,0.0,0.07362788170576096,469384.0,54904.0,28072,212224,1.0,0.0,0.005483254045758928,0.07615128955218885,0.19837254285812378,8563.4169921875,2.889448881149292,18.0,32.0,1.2915130853652954,3.0,8.0,0.0
600,2.1378231048583984,2.154503107070923,27.13037109375,113.2587890625,4.174612522125244,1.0,6.31640625,"[3.9482421875, 3.8447265625, 3.3505859375, 3.66650390625, 3.43701171875, 3.22314453125, 2.875, 2.78515625]",7.551908493041992,0.0029296875,0.009765625,0.01611328125,0.02783203125,1954,3.4481873512268066,5.632307529449463,0.0,0.09525392204523087,444504.0,79784.0,28072,212224,0.9,0.0,0.012846437421526226,0.09091424894623248,0.2098008692264557,11186.1025390625,3.6634671688079834,16.0,32.0,1.2618517875671387,3.0,8.0,0.0
700,2.087117910385132,2.1025588512420654,25.07861328125,96.349609375,3.8419034481048584,1.0,6.12255859375,"[3.68017578125, 3.75048828125, 3.09130859375, 3.3525390625, 3.0439453125, 3.00048828125, 2.4912109375, 2.66845703125]",7.256335258483887,0.0419921875,0.07666015625,0.08642578125,0.09814453125,1809,3.4446659088134766,5.605950355529785,0.0,0.11128154397010803,410888.0,113400.0,28072,212224,0.8,0.0,0.01915068464006695,0.13340300278573203,0.21374310553073883,14044.6708984375,3.912017345428467,16.0,32.0,1.280532956123352,3.0,8.0,0.0
800,2.0355021953582764,2.086094379425049,23.59912109375,86.1923828125,3.652355432510376,0.9999999403953552,6.0439453125,"[3.44775390625, 3.72705078125, 2.91357421875, 3.0048828125, 2.8466796875, 2.8291015625, 2.2431640625, 2.5869140625]",7.352524280548096,0.0126953125,0.04345703125,0.05712890625,0.076171875,1802,3.4349169731140137,5.577492713928223,0.0,0.13869786262512207,386648.0,137640.0,28072,212224,0.7,0.0,0.02138577680315288,0.1292443640065917,0.2095496505498886,15756.39453125,3.725170373916626,15.0,32.0,1.3046724796295166,3.0,8.0,0.0
900,2.0093109607696533,2.0647997856140137,22.146484375,76.77490234375,3.4666857719421387,1.0,5.9130859375,"[3.24609375, 3.384765625, 2.822265625, 2.69970703125, 2.67236328125, 2.6865234375, 2.13671875, 2.498046875]",7.193730354309082,0.021484375,0.0625,0.0927734375,0.1181640625,1720,3.431447982788086,5.552878379821777,0.0,0.14754800498485565,362848.0,161440.0,28072,212224,0.6,0.0,0.018861622140066925,0.1504885504462226,0.20686861872673035,17338.830078125,3.7800910472869873,14.0,32.0,1.2644727230072021,3.0,8.0,0.0001220703125
