step,train_loss,val_loss,avg_active_cells,avg_active_edges,avg_fanin,avg_soft_fanin,avg_effective_depth,step_widths,graph_entropy,top1_coverage,top4_coverage,top8_coverage,top16_coverage,unique_graphs,node_usage_entropy,edge_usage_entropy,dead_cell_ratio,node_usage_gini,active_cell_macs,skipped_cell_macs,router_parameters,router_macs_per_token,temperature,exploration,dual_value,router_gradient_norm,node_score_std,edge_score_std,std_active_cells,min_active_cells,max_active_cells,std_depth,min_depth,max_depth,empty_step_fraction
0,4.2344489097595215,4.229273319244385,32.0,320.0,10.0,1.0,8.0,"[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]",-0.0,1.0,1.0,1.0,1.0,1,3.465735912322998,5.7683210372924805,0.0,0.0,524288.0,0.0,28072,212224,1.5,0.0,0.0,0.0,0.0022520232014358044,0.0013066752580925822,0.0,32.0,32.0,0.0,8.0,8.0,0.0
100,2.6498770713806152,2.6559507846832275,32.0,299.10546875,9.3470458984375,1.0,7.970703125,"[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]",3.9298346042633057,0.3828125,0.49560546875,0.5419921875,0.609375,520,3.465735912322998,5.758966445922852,0.0,0.0,524288.0,0.0,28072,212224,1.375,0.0,0.06250000000000004,0.021718039588479978,0.05033017322421074,0.057106029242277145,0.0,32.0,32.0,0.16863738000392914,7.0,8.0,0.0
200,2.464148759841919,2.4875757694244385,20.7080078125,108.13037109375,5.221669673919678,1.0,6.26416015625,"[3.23583984375, 3.24462890625, 2.529296875, 2.40576171875, 3.228515625, 2.25927734375, 2.27490234375, 1.52978515625]",6.562474250793457,0.0322265625,0.08935546875,0.1318359375,0.1953125,1238,3.2564754486083984,5.518104553222656,0.0,0.3096056282520294,339280.0,185008.0,28072,212224,1.25,0.0,0.10672467041015626,0.05602339976752069,0.6984819769859314,17829.962890625,4.72667932510376,18.0,32.0,1.383512258529663,3.0,8.0,0.0
300,2.3510818481445312,2.3463492393493652,14.27880859375,51.26806640625,3.5905003547668457,1.0,5.51953125,"[1.939453125, 2.3720703125, 1.6650390625, 2.15673828125, 1.705078125, 1.27001953125, 1.77587890625, 1.39453125]",6.094692230224609,0.07763671875,0.1435546875,0.19677734375,0.27587890625,1051,3.1498851776123047,5.379378318786621,0.0,0.4296102821826935,233944.0,290344.0,28072,212224,1.125,0.0,0.12214593505859374,0.06831286271010671,1.075546383857727,23036.1796875,4.911810398101807,9.0,32.0,1.5314443111419678,2.0,8.0,0.0
400,2.2606961727142334,2.2779417037963867,10.6689453125,26.9521484375,2.526224374771118,1.0,5.1796875,"[1.37890625, 1.91455078125, 1.330078125, 1.22802734375, 1.12841796875, 1.11767578125, 1.3525390625, 1.21875]",5.490472316741943,0.05029296875,0.15478515625,0.25048828125,0.3779296875,712,2.89687180519104,4.970181465148926,0.0,0.5568077564239502,174800.0,349488.0,28072,212224,1.0,0.0,0.12161051940917965,0.1060613030307904,1.2936420440673828,25155.90625,4.012404441833496,8.0,30.0,1.2118947505950928,2.0,8.0,0.0
500,2.2031822204589844,2.2329509258270264,10.31689453125,22.1591796875,2.1478536128997803,1.0,4.7958984375,"[1.39111328125, 1.83056640625, 1.25732421875, 1.2314453125, 1.06494140625, 1.11279296875, 1.2587890625, 1.169921875]",5.469746112823486,0.07568359375,0.22607421875,0.30322265625,0.37890625,764,2.8703603744506836,4.75069522857666,0.03125,0.5693138241767883,169032.0,355256.0,28072,212224,0.875,0.0,0.11655242919921868,0.13751082209262921,1.25809907913208,25303.228515625,3.309354066848755,8.0,25.0,1.1909254789352417,2.0,8.0,0.0
600,2.157285690307617,2.1728975772857666,10.02197265625,19.53076171875,1.9487941265106201,1.0,4.6533203125,"[1.30712890625, 1.75830078125, 1.21337890625, 1.19775390625, 1.0322265625, 1.09765625, 1.234375, 1.18115234375]",5.114687919616699,0.11962890625,0.25927734375,0.35595703125,0.44873046875,658,2.822643995285034,4.589938163757324,0.03125,0.5865240693092346,164200.0,360088.0,28072,212224,0.75,0.0,0.11045826721191404,0.10365257680623834,1.2460479736328125,25476.0,2.9613404273986816,8.0,23.0,1.1629571914672852,2.0,8.0,0.0
700,2.114262104034424,2.133272647857666,9.443359375,17.5732421875,1.8609100580215454,1.0,4.5859375,"[1.28515625, 1.3876953125, 1.17578125, 1.17236328125, 1.01025390625, 1.04736328125, 1.22021484375, 1.14453125]",5.22227668762207,0.10693359375,0.2314453125,0.326171875,0.412109375,647,2.786336660385132,4.500303745269775,0.03125,0.5967586636543274,154720.0,369568.0,28072,212224,0.625,0.0,0.10324211120605473,0.2155776191137813,1.168241262435913,25781.4765625,2.7598748207092285,7.0,22.0,1.120406150817871,2.0,8.0,0.0057373046875
800,2.0615696907043457,2.1165359020233154,9.15478515625,15.65380859375,1.7099045515060425,1.0,4.44921875,"[1.23193359375, 1.375, 1.14013671875, 1.134765625, 1.001953125, 0.93017578125, 1.2001953125, 1.140625]",5.47025203704834,0.05615234375,0.16845703125,0.24560546875,0.35302734375,659,2.759376049041748,4.332947731018066,0.125,0.6076040863990784,149992.0,374296.0,28072,212224,0.5,0.0,0.09453588867187505,0.22628513293644878,1.106258511543274,25915.998046875,2.4624061584472656,7.0,21.0,1.0534353256225586,2.0,8.0,0.01947021484375
900,2.0333449840545654,2.085996150970459,8.96484375,13.9892578125,1.5604575872421265,1.0,4.248046875,"[1.20849609375, 1.35986328125, 1.13916015625, 1.12939453125, 0.998046875, 0.8251953125, 1.19287109375, 1.11181640625]",5.11644172668457,0.10546875,0.24072265625,0.3203125,0.41650390625,576,2.758108139038086,4.26243782043457,0.15625,0.611509382724762,146880.0,377408.0,28072,212224,0.375,0.0,0.08507002258300778,0.1701207640120402,1.0726580619812012,25985.49609375,2.269174814224243,7.0,18.0,1.0541937351226807,2.0,8.0,0.02947998046875
