node,step,cell,remove_delta_nll,add_gain_nll
0,0,0,0.0,-0.03144916519522667
1,0,1,0.10583962500095367,-0.0785827785730362
2,0,2,0.06923149526119232,-0.03311169147491455
3,0,3,1.3261802196502686,-0.04233977571129799
4,1,0,0.4733450710773468,0.018997997045516968
5,1,1,0.02607671171426773,-0.08067658543586731
6,1,2,-0.014622751623392105,-0.04001813754439354
7,1,3,-0.00083866564091295,-0.11084618419408798
8,2,0,0.0665774717926979,-0.06188805028796196
9,2,1,0.3045426905155182,-0.052103377878665924
10,2,2,0.001502498984336853,-0.10577067732810974
11,2,3,-0.01739940047264099,-0.10140052437782288
12,3,0,0.0664886012673378,-0.08614687621593475
13,3,1,-0.051950979977846146,-0.038974858820438385
14,3,2,0.017533738166093826,-0.04514371231198311
15,3,3,0.08882737159729004,-0.03291629999876022
16,4,0,0.0,-0.05462028086185455
17,4,1,0.004173724912106991,-0.03627123311161995
18,4,2,0.07364527136087418,-0.008687203750014305
19,4,3,0.0,-0.05877465754747391
20,5,0,0.019600549712777138,-0.0400858074426651
21,5,1,0.2199041247367859,-0.029015202075242996
22,5,2,0.0,-0.027139129117131233
23,5,3,-0.013913222588598728,-0.05443400517106056
24,6,0,0.047032102942466736,-0.05972515791654587
25,6,1,0.0,-0.03512732312083244
26,6,2,0.033695146441459656,0.0009090334642678499
27,6,3,-0.02013104036450386,-0.07074487954378128
28,7,0,0.04860469698905945,-0.060411471873521805
29,7,1,0.11517329514026642,-0.17302905023097992
30,7,2,0.04022686928510666,-0.01652032881975174
31,7,3,0.022904621437191963,-0.08272267878055573
