node,step,cell,usage_frequency,mean_fanin,fanin_distribution,source_distribution,top_token_distribution,position_bucket_distribution,difficulty_quintile_usage,remove_delta_nll,add_gain_nll
0,0,0,0.0,0.0,{},[],[],{},"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,-0.03144916519522667
1,0,1,0.1260986328125,1.0,"{""1"": 1.0}","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[21, 228], [13, 183], [10, 177], [32, 147], [8, 144], [27, 123], [26, 109], [5, 95]]","{""1"": 277, ""3"": 228, ""6"": 232, ""7"": 328, ""0"": 255, ""2"": 249, ""5"": 253, ""4"": 244}","[0.21330485199877938, 0.12206286237412267, 0.10653235653235653, 0.08574916081782118, 0.10283796155019835]",0.10583962500095367,-0.0785827785730362
2,0,2,0.17523193359375,1.0,"{""1"": 1.0}","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[21, 228], [45, 202], [44, 191], [13, 183], [10, 177], [40, 157], [32, 147], [8, 144]]","{""1"": 371, ""2"": 359, ""3"": 337, ""4"": 343, ""5"": 375, ""6"": 332, ""7"": 411, ""0"": 343}","[0.24870308208727496, 0.19682636557827282, 0.17399267399267399, 0.12389380530973451, 0.13274336283185842]",0.06923149526119232,-0.03311169147491455
3,0,3,0.89306640625,1.0,"{""1"": 1.0}","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[1, 2483], [43, 1281], [58, 998], [53, 905], [39, 838], [57, 749], [47, 713], [46, 709]]","{""0"": 1836, ""1"": 1821, ""2"": 1846, ""3"": 1867, ""4"": 1844, ""5"": 1840, ""6"": 1861, ""7"": 1717}","[0.8553555080866646, 0.9011290814769606, 0.8962148962148963, 0.9160817821177907, 0.896551724137931]",1.3261802196502686,-0.04233977571129799
4,1,0,0.99517822265625,1.395277522232444,"{""1"": 0.6365532045384851, ""2"": 0.34081570070530515, ""3"": 0.01343146274149034, ""4"": 0.00919963201471941}","[0.24201165286721865, 0.0, 0.11830726770929163, 0.1695185525912297, 0.8654400490647041, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[1, 2483], [43, 1336], [58, 998], [53, 905], [39, 838], [57, 749], [47, 713], [46, 709]]","{""0"": 1970, ""1"": 2047, ""2"": 2048, ""3"": 2048, ""4"": 2048, ""5"": 2048, ""6"": 2048, ""7"": 2048}","[0.9987793713762587, 0.9969484284406469, 0.9920634920634921, 0.9948123283490998, 0.9932865425694233]",0.4733450710773468,0.018997997045516968
5,1,1,0.16876220703125,2.2007233273056057,"{""1"": 0.11464737793851718, ""2"": 0.6094032549728752, ""3"": 0.23652802893309222, ""4"": 0.03942133815551537}","[0.32224231464737796, 0.0, 0.6943942133815552, 0.9605786618444846, 0.22350813743218806, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[21, 228], [45, 202], [44, 191], [13, 183], [10, 177], [40, 157], [32, 147], [54, 142]]","{""1"": 370, ""2"": 347, ""3"": 318, ""4"": 326, ""5"": 349, ""6"": 311, ""7"": 401, ""0"": 343}","[0.22032346658529142, 0.19438510833079037, 0.17277167277167277, 0.12389380530973451, 0.1324382056759231]",0.02607671171426773,-0.08067658543586731
6,1,2,0.10357666015625,2.232174425456688,"{""1"": 0.0713022981732469, ""2"": 0.6263995285798468, ""3"": 0.30111962286387745, ""4"": 0.0011785503830288745}","[0.29817324690630526, 0.0, 0.9198585739540366, 1.0, 0.014142604596346494, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[21, 228], [13, 183], [10, 158], [32, 147], [27, 123], [26, 109], [30, 86], [20, 71]]","{""1"": 224, ""3"": 176, ""6"": 184, ""7"": 275, ""0"": 235, ""2"": 198, ""5"": 204, ""4"": 201}","[0.14037229173024107, 0.09978638999084528, 0.09859584859584859, 0.08147696063472688, 0.09765028989929814]",-0.014622751623392105,-0.04001813754439354
7,1,3,0.05584716796875,1.5519125683060109,"{""1"": 0.6863387978142077, ""2"": 0.15737704918032788, ""3"": 0.07431693989071038, ""4"": 0.08196721311475409}","[0.23934426229508196, 0.0, 0.15628415300546447, 0.15628415300546447, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[0, 612], [8, 142], [60, 100], [63, 60], [12, 1]]","{""1"": 129, ""3"": 98, ""6"": 106, ""0"": 113, ""5"": 115, ""7"": 123, ""2"": 114, ""4"": 117}","[0.11077204760451632, 0.010375343301800427, 0.045787545787545784, 0.05767470247177296, 0.054623130912419895]",-0.00083866564091295,-0.11084618419408798
8,2,0,0.15887451171875,2.2566269688820593,"{""1"": 0.2520169035728006, ""2"": 0.48713023434498653, ""3"": 0.08259700345754899, ""4"": 0.11371494429504418, ""5"": 0.06108336534767576, ""6"": 0.001920860545524395, ""7"": 0.001536688436419516}","[0.1260084517864003, 0.0, 0.545908567038033, 0.9320015366884364, 0.11294660007683442, 0.2466384940453323, 0.21091048789857855, 0.08029197080291971, 0.001920860545524395, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[21, 224], [45, 192], [44, 191], [13, 182], [10, 177], [40, 157], [32, 146], [54, 142]]","{""1"": 331, ""2"": 331, ""3"": 302, ""4"": 305, ""5"": 337, ""6"": 299, ""7"": 369, ""0"": 329}","[0.18370460787305462, 0.18767165090021362, 0.16941391941391942, 0.12145254806225206, 0.1321330485199878]",0.0665774717926979,-0.06188805028796196
9,2,1,0.76763916015625,1.1668919456150115,"{""1"": 0.8891627574143277, ""2"": 0.08054384988471018, ""3"": 0.008984654528106862, ""4"": 0.01693567623439612, ""5"": 0.004293551721396199, ""6"": 7.951021706289258e-05}","[0.07442156317086746, 0.0, 0.023932575335930666, 0.028146616840263972, 0.777927963743341, 0.22978452731175955, 0.01574302297845273, 0.0014311839071320664, 0.015504492327264053, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[1, 2483], [43, 1336], [58, 996], [53, 905], [39, 838], [47, 713], [46, 709], [52, 708]]","{""0"": 1607, ""1"": 1546, ""2"": 1569, ""3"": 1586, ""4"": 1584, ""5"": 1544, ""6"": 1596, ""7"": 1545}","[0.7622825755263961, 0.7299359169972536, 0.7405372405372406, 0.8162953921269454, 0.7891364052487031]",0.3045426905155182,-0.052103377878665924
