active_cells,active_edges,average_path_length,longest_path,average_branching_factor,average_merge_factor
7,9,2.7142857142857144,4,2.0,1.3333333333333333
7,9,2.7142857142857144,4,2.6666666666666665,1.3333333333333333
7,9,2.4285714285714284,4,1.75,1.1666666666666667
7,7,1.4285714285714286,2,3.0,1.0
8,9,2.75,4,2.6666666666666665,1.1428571428571428
8,10,2.75,4,2.6666666666666665,1.1428571428571428
7,9,2.7142857142857144,4,2.6666666666666665,1.3333333333333333
7,9,2.0,3,1.6666666666666667,1.0
7,7,1.7142857142857142,3,1.5,1.0
7,10,2.4285714285714284,4,1.6,1.3333333333333333
8,8,2.625,4,2.3333333333333335,1.0
8,8,2.5,4,1.75,1.0
6,7,2.3333333333333335,4,1.3333333333333333,1.0
8,8,2.625,4,2.3333333333333335,1.0
8,9,2.75,4,2.3333333333333335,1.0
6,7,2.3333333333333335,4,1.5,1.2
6,7,2.5,4,2.0,1.2
6,6,1.8333333333333333,3,2.0,1.0
12,32,3.0,6,2.9,2.9
7,11,3.4285714285714284,5,2.0,1.6666666666666667
12,19,2.8333333333333335,5,2.6666666666666665,1.6
7,9,2.4285714285714284,4,1.75,1.1666666666666667
7,7,1.4285714285714286,2,3.0,1.0
7,7,1.4285714285714286,2,3.0,1.0
6,7,2.5,4,2.0,1.2
7,11,2.0,3,3.0,1.5
6,6,2.3333333333333335,4,1.6666666666666667,1.0
7,8,2.7142857142857144,4,2.3333333333333335,1.1666666666666667
7,9,2.4285714285714284,4,1.75,1.1666666666666667
8,8,2.625,4,2.3333333333333335,1.0
11,21,2.4545454545454546,5,2.25,2.0
8,8,2.625,4,2.3333333333333335,1.0
7,7,2.5714285714285716,4,2.0,1.0
7,7,2.4285714285714284,4,1.5,1.0
8,8,2.625,4,2.3333333333333335,1.0
8,14,2.5,5,2.0,1.6
6,6,2.8333333333333335,4,1.6666666666666667,1.0
7,7,2.4285714285714284,4,1.5,1.0
6,6,2.3333333333333335,4,1.6666666666666667,1.0
8,8,2.625,4,2.3333333333333335,1.0
7,10,3.0,4,2.25,1.5
6,6,2.3333333333333335,4,1.3333333333333333,1.0
8,8,2.625,4,2.3333333333333335,1.0
9,13,1.6666666666666667,3,2.0,1.5
6,7,2.3333333333333335,4,1.5,1.2
6,6,2.3333333333333335,4,1.6666666666666667,1.0
7,11,1.7142857142857142,3,2.5,1.6666666666666667
8,8,2.625,4,2.3333333333333335,1.0
8,9,2.625,4,2.0,1.1428571428571428
7,9,2.5714285714285716,4,2.0,1.3333333333333333
8,8,2.625,4,2.3333333333333335,1.0
8,12,2.625,4,2.5,1.4285714285714286
6,6,2.3333333333333335,4,1.3333333333333333,1.0
7,8,2.0,3,1.6666666666666667,1.0
7,7,1.4285714285714286,2,3.0,1.0
8,12,3.375,6,1.8333333333333333,1.5714285714285714
7,10,2.7142857142857144,4,2.3333333333333335,1.4
10,19,2.6,5,2.0,2.0
8,10,2.75,4,2.6666666666666665,1.1428571428571428
6,7,2.3333333333333335,4,1.3333333333333333,1.0
7,10,2.5714285714285716,4,1.6,1.3333333333333333
8,10,1.375,2,3.0,1.0
7,9,2.4285714285714284,4,1.75,1.1666666666666667
8,8,2.625,4,2.3333333333333335,1.0
7,8,2.5714285714285716,4,2.3333333333333335,1.1666666666666667
7,7,2.0,3,1.6666666666666667,1.0
8,8,2.625,4,2.3333333333333335,1.0
7,8,2.142857142857143,4,1.3333333333333333,1.0
6,6,2.3333333333333335,4,1.3333333333333333,1.0
7,7,2.4285714285714284,4,1.5,1.0
6,6,2.3333333333333335,4,1.6666666666666667,1.0
8,9,2.625,4,2.6666666666666665,1.1428571428571428
8,10,1.625,3,1.6666666666666667,1.25
7,9,2.7142857142857144,4,2.6666666666666665,1.3333333333333333
7,7,2.4285714285714284,4,1.5,1.0
7,7,2.5714285714285716,4,2.0,1.0
8,9,2.625,4,2.6666666666666665,1.1428571428571428
6,7,2.5,4,2.0,1.2
7,9,2.4285714285714284,4,1.4,1.1666666666666667
7,7,1.4285714285714286,2,3.0,1.0
6,7,2.8333333333333335,4,2.0,1.2
7,8,2.4285714285714284,4,1.5,1.0
7,11,1.7142857142857142,3,2.5,1.6666666666666667
6,6,2.3333333333333335,4,1.6666666666666667,1.0
7,7,1.4285714285714286,2,3.0,1.0
8,9,2.625,4,2.6666666666666665,1.1428571428571428
6,9,3.0,5,1.6,1.6
6,7,2.3333333333333335,4,1.3333333333333333,1.0
8,10,2.625,4,2.6666666666666665,1.1428571428571428
8,9,1.5,2,1.6666666666666667,1.25
7,9,2.7142857142857144,4,2.6666666666666665,1.3333333333333333
8,10,1.375,2,3.0,1.0
7,7,2.4285714285714284,4,1.5,1.0
6,6,2.3333333333333335,4,1.6666666666666667,1.0
7,7,1.7142857142857142,3,1.5,1.0
7,7,1.7142857142857142,3,1.5,1.0
10,19,2.2,4,2.0,2.0
7,9,2.2857142857142856,4,2.0,1.5
11,25,2.727272727272727,5,2.625,2.3333333333333335
7,8,2.5714285714285716,4,2.0,1.0
6,7,2.5,4,2.0,1.2
7,12,2.0,3,3.0,1.5
7,10,2.4285714285714284,4,1.75,1.1666666666666667
7,12,3.142857142857143,5,1.8,1.5
8,9,2.375,4,2.3333333333333335,1.1666666666666667
7,9,2.7142857142857144,4,2.6666666666666665,1.3333333333333333
6,9,3.0,5,1.4,1.4
7,7,2.5714285714285716,4,2.0,1.0
8,10,2.625,4,2.0,1.1428571428571428
6,6,2.8333333333333335,4,1.6666666666666667,1.0
7,8,2.4285714285714284,4,1.5,1.0
6,6,2.3333333333333335,4,1.6666666666666667,1.0
8,10,2.625,4,2.6666666666666665,1.1428571428571428
7,8,2.142857142857143,4,1.6666666666666667,1.0
6,7,2.3333333333333335,4,1.5,1.2
6,6,2.1666666666666665,3,1.6666666666666667,1.0
6,7,2.3333333333333335,4,1.3333333333333333,1.0
6,9,2.8333333333333335,4,2.0,1.6
6,7,2.3333333333333335,4,1.6666666666666667,1.0
6,6,2.3333333333333335,4,1.6666666666666667,1.0
7,10,2.7142857142857144,4,1.6,1.3333333333333333
7,8,2.7142857142857144,4,2.3333333333333335,1.1666666666666667
11,26,2.727272727272727,5,2.75,2.4444444444444446
7,9,2.7142857142857144,4,2.6666666666666665,1.3333333333333333
8,12,2.625,4,2.0,1.4285714285714286
7,9,2.2857142857142856,3,2.6666666666666665,1.3333333333333333
7,8,1.7142857142857142,3,2.0,1.0
7,8,1.7142857142857142,3,2.0,1.0
7,8,2.4285714285714284,4,1.4,1.1666666666666667
7,9,2.5714285714285716,4,1.75,1.1666666666666667
7,8,2.7142857142857144,4,2.3333333333333335,1.1666666666666667
8,8,1.5,2,2.0,1.0
6,6,2.1666666666666665,3,1.6666666666666667,1.0
8,13,1.625,3,2.6666666666666665,2.6666666666666665
6,7,2.3333333333333335,4,1.5,1.2
7,10,2.4285714285714284,4,1.6,1.3333333333333333
7,7,1.4285714285714286,2,3.0,1.0
8,8,2.625,4,2.3333333333333335,1.0
8,10,2.5,4,2.0,1.1428571428571428
7,10,1.8571428571428572,4,2.0,2.0
6,6,2.8333333333333335,4,1.6666666666666667,1.0
7,9,2.4285714285714284,4,1.6,1.3333333333333333
8,11,3.5,5,2.0,1.4285714285714286
13,26,2.3076923076923075,4,2.875,2.090909090909091
7,7,2.5714285714285716,4,2.0,1.0
8,10,2.75,4,2.25,1.2857142857142858
6,6,2.8333333333333335,4,1.6666666666666667,1.0
7,7,1.7142857142857142,3,1.5,1.0
7,7,2.5714285714285716,4,2.0,1.0
8,8,2.625,4,2.3333333333333335,1.0
7,8,2.7142857142857144,4,2.3333333333333335,1.1666666666666667
7,9,2.4285714285714284,4,1.75,1.1666666666666667
7,7,1.7142857142857142,3,1.5,1.0
7,10,1.7142857142857142,3,2.5,1.6666666666666667
6,7,2.5,4,2.0,1.2
7,11,2.0,3,2.5,1.25
6,6,2.1666666666666665,3,1.6666666666666667,1.0
6,6,2.8333333333333335,4,1.6666666666666667,1.0
7,9,2.4285714285714284,4,1.4,1.1666666666666667
6,6,1.8333333333333333,3,1.5,1.0
8,8,2.625,4,2.3333333333333335,1.0
7,8,2.142857142857143,4,1.3333333333333333,1.0
6,7,2.5,4,2.0,1.2
7,8,2.5714285714285716,4,2.3333333333333335,1.1666666666666667
6,6,1.8333333333333333,3,2.0,1.0
8,14,3.5,6,2.0,1.7142857142857142
8,9,2.625,4,2.3333333333333335,1.0
8,12,2.625,4,2.5,1.4285714285714286
7,8,2.5714285714285716,4,2.0,1.0
6,7,2.8333333333333335,4,1.6666666666666667,1.0
7,7,1.7142857142857142,3,1.5,1.0
6,6,2.3333333333333335,4,1.6666666666666667,1.0
8,9,2.625,4,2.3333333333333335,1.0
7,8,2.5714285714285716,4,2.3333333333333335,1.1666666666666667
7,8,2.0,3,2.0,1.2
7,8,1.4285714285714286,2,3.0,1.0
7,8,1.7142857142857142,3,2.0,1.0
7,9,2.4285714285714284,4,1.4,1.1666666666666667
6,6,2.3333333333333335,4,1.6666666666666667,1.0
7,9,2.4285714285714284,4,1.6,1.3333333333333333
7,11,2.0,3,2.5,1.25
6,6,2.3333333333333335,4,1.6666666666666667,1.0
7,11,3.4285714285714284,5,1.8,1.5
13,29,2.8461538461538463,5,2.888888888888889,2.3636363636363638
7,8,1.4285714285714286,2,3.0,1.0
8,9,2.625,4,2.3333333333333335,1.0
8,11,2.75,4,2.5,1.4285714285714286
6,7,2.8333333333333335,4,1.6666666666666667,1.0
7,8,2.4285714285714284,4,1.5,1.0
8,8,2.625,4,2.3333333333333335,1.0
11,23,2.727272727272727,5,2.5,2.2222222222222223
8,8,2.625,4,2.3333333333333335,1.0
8,12,1.625,3,1.6666666666666667,1.25
6,6,2.8333333333333335,4,1.6666666666666667,1.0
7,9,2.4285714285714284,4,1.4,1.1666666666666667
7,7,2.0,3,1.6666666666666667,1.0
6,9,3.1666666666666665,5,1.6,1.6
8,8,2.625,4,2.3333333333333335,1.0
8,10,2.75,4,2.25,1.2857142857142858
6,7,2.8333333333333335,4,1.6666666666666667,1.0
6,10,3.1666666666666665,5,1.8,1.8
8,8,2.625,4,2.3333333333333335,1.0
8,10,2.5,4,2.0,1.1428571428571428
7,9,2.4285714285714284,4,1.75,1.1666666666666667
6,10,3.1666666666666665,5,1.8,1.8
