step,train_loss,val_loss,avg_active_cells,avg_active_edges,avg_fanin,avg_soft_fanin,avg_effective_depth,step_widths,graph_entropy,top1_coverage,top4_coverage,top8_coverage,top16_coverage,unique_graphs,node_usage_entropy,edge_usage_entropy,dead_cell_ratio,node_usage_gini,active_cell_macs,skipped_cell_macs,router_parameters,router_macs_per_token,temperature,exploration,dual_value
0,4.2344489097595215,4.229273319244385,32.0,320.0,10.0,1.0,8.0,"[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]",-0.0,1.0,1.0,1.0,1.0,1,3.465735912322998,5.7683210372924805,0.0,0.0,524288.0,0.0,28072,1478656,1.5,0.0,0.0
100,2.612375497817993,2.6184017658233643,32.0,299.99658203125,9.374893188476562,1.0,7.97802734375,"[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]",3.896923542022705,0.38818359375,0.5029296875,0.5478515625,0.61181640625,509,3.465735912322998,5.759233474731445,0.0,0.0,524288.0,0.0,28072,1478656,1.375,0.0,0.0
200,2.4422736167907715,2.467193126678467,31.2314453125,217.91259765625,6.977345943450928,1.0,7.2646484375,"[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.611328125, 3.6201171875]",6.827287197113037,0.1064453125,0.12890625,0.14306640625,0.1650390625,1598,3.4605464935302734,5.740139007568359,0.0,0.02307913266122341,511696.0,12592.0,28072,1478656,1.25,0.0,0.0
300,2.345136880874634,2.3415637016296387,30.62158203125,176.20947265625,5.754421234130859,1.0,7.02880859375,"[4.0, 4.0, 4.0, 3.99365234375, 3.99658203125, 3.77978515625, 3.451171875, 3.400390625]",7.442901611328125,0.009765625,0.029296875,0.0400390625,0.0537109375,1864,3.4582371711730957,5.719592094421387,0.0,0.0389368049800396,501704.0,22584.0,28072,1478656,1.125,0.0,0.0
400,2.260418653488159,2.269534111022949,29.57958984375,143.767578125,4.860363960266113,1.0,6.6826171875,"[3.9755859375, 4.0, 3.9775390625, 3.93212890625, 3.89794921875, 3.49169921875, 3.189453125, 3.115234375]",7.353276252746582,0.01318359375,0.03564453125,0.0546875,0.07958984375,1807,3.4547946453094482,5.685849189758301,0.0,0.0607600212097168,484632.0,39656.0,28072,1478656,1.0,0.0,0.0
500,2.192974805831909,2.215533971786499,28.72021484375,122.03466796875,4.249086380004883,1.0,6.27587890625,"[3.9599609375, 4.0, 3.7744140625, 3.798828125, 3.7880859375, 3.384765625, 3.08935546875, 2.9248046875]",7.434141159057617,0.01123046875,0.02880859375,0.0458984375,0.06640625,1874,3.454465389251709,5.64652156829834,0.0,0.07275338470935822,470552.0,53736.0,28072,1478656,0.875,0.0,0.0
600,2.1365904808044434,2.1547064781188965,28.1162109375,110.87255859375,3.9433674812316895,0.9999999403953552,6.23046875,"[3.96923828125, 3.99365234375, 3.77001953125, 3.6572265625, 3.7451171875, 3.1875, 2.97216796875, 2.8212890625]",7.4323320388793945,0.015625,0.033203125,0.0478515625,0.0634765625,1875,3.451683759689331,5.627335071563721,0.0,0.08342993259429932,460656.0,63632.0,28072,1478656,0.75,0.0,0.0
700,2.0932931900024414,2.1088812351226807,27.36572265625,99.99658203125,3.6540815830230713,1.0,6.05810546875,"[3.9345703125, 3.955078125, 3.703125, 3.57666015625, 3.5966796875, 3.05224609375, 2.8125, 2.73486328125]",7.293242454528809,0.033203125,0.05859375,0.0791015625,0.099609375,1812,3.451125144958496,5.600759029388428,0.0,0.09082935750484467,448360.0,75928.0,28072,1478656,0.625,0.0,0.0
800,2.0383689403533936,2.0865466594696045,26.599609375,89.697265625,3.3721272945404053,1.0,5.94873046875,"[3.91650390625, 3.92041015625, 3.58642578125, 3.46826171875, 3.47802734375, 2.91650390625, 2.638671875, 2.6748046875]",7.292579650878906,0.03271484375,0.0654296875,0.078125,0.0927734375,1819,3.4487457275390625,5.572262763977051,0.0,0.09902755171060562,435808.0,88480.0,28072,1478656,0.5,0.0,0.0
900,2.0113685131073,2.066405773162842,24.9423828125,74.64404296875,2.992658853530884,1.0,5.65625,"[3.85791015625, 3.86572265625, 3.27587890625, 3.22265625, 3.13818359375, 2.6953125, 2.3896484375, 2.4970703125]",7.295302391052246,0.02294921875,0.0517578125,0.07275390625,0.09716796875,1786,3.4427402019500732,5.517032623291016,0.0,0.1195993721485138,408656.0,115632.0,28072,1478656,0.375,0.0,0.0
1000,1.9928690195083618,2.062159299850464,22.73388671875,58.435546875,2.57041597366333,1.0,5.3388671875,"[3.6171875, 3.6298828125, 2.94580078125, 2.9267578125, 2.75341796875, 2.42919921875, 2.16650390625, 2.26513671875]",7.248924255371094,0.02734375,0.05810546875,0.0810546875,0.1083984375,1762,3.4378418922424316,5.454528331756592,0.0,0.13363085687160492,372472.0,151816.0,28072,1478656,0.25,0.0,0.0
