node,step,cell,remove_delta_nll,add_gain_nll
0,0,0,0.012484480626881123,-0.018856149166822433
1,0,1,0.03193792700767517,-0.0021278325002640486
2,0,2,0.03857078775763512,0.0013568191789090633
3,0,3,0.03006838820874691,-0.005052630323916674
4,1,0,0.008037365041673183,-0.03969266265630722
5,1,1,0.016207361593842506,-0.005075695458799601
6,1,2,0.01526376511901617,-0.13833540678024292
7,1,3,0.017573989927768707,-0.0155789814889431
8,2,0,0.0067857131361961365,0.02617667429149151
9,2,1,0.021268045529723167,-0.03327952325344086
10,2,2,0.025012314319610596,-0.055105581879615784
11,2,3,0.017135098576545715,-0.005835368297994137
12,3,0,0.0040643601678311825,-0.02365349978208542
13,3,1,0.04603515937924385,-0.0019652745686471462
14,3,2,0.01812443695962429,-0.024295462295413017
15,3,3,0.009555271826684475,-0.0343729630112648
16,4,0,0.06119396537542343,-0.02094382978975773
17,4,1,0.006297077052295208,-0.015741119161248207
18,4,2,0.006955097429454327,-0.03859984502196312
19,4,3,0.012328964658081532,-0.004824300296604633
20,5,0,0.005317938979715109,-0.02711004950106144
21,5,1,0.00036058499244973063,0.0007332565728574991
22,5,2,0.009848636575043201,-0.03193886578083038
23,5,3,0.005989905912429094,-0.019693315029144287
24,6,0,0.010428772307932377,-0.07137906551361084
25,6,1,0.040643107146024704,-0.2539532780647278
26,6,2,-0.0038931514136493206,-0.04161323979496956
27,6,3,0.011761652305722237,-0.005117891356348991
28,7,0,0.01300000585615635,-0.012166118249297142
29,7,1,0.017140541225671768,-0.035477299243211746
30,7,2,-0.0005713072023354471,-0.10539956390857697
31,7,3,0.0007928423001430929,-0.04136211797595024
