active_cells,active_edges,average_path_length,longest_path,average_branching_factor,average_merge_factor
23,46,3.9130434782608696,6,6.142857142857143,2.15
16,27,2.5,4,2.75,1.8333333333333333
28,93,3.2857142857142856,5,5.5625,3.7083333333333335
23,83,3.130434782608696,6,4.0,3.8
25,82,3.08,5,4.8125,3.6666666666666665
20,43,3.4,6,3.727272727272727,2.2777777777777777
18,29,1.5,2,8.0,1.7777777777777777
22,30,1.4090909090909092,2,6.5,1.4444444444444444
19,64,3.6842105263157894,8,4.357142857142857,3.8125
22,67,3.6363636363636362,7,4.75,3.1666666666666665
19,51,3.1578947368421053,7,4.0,2.933333333333333
21,71,4.380952380952381,8,4.6,3.6315789473684212
21,43,1.6666666666666667,3,4.666666666666667,2.8
23,75,3.3043478260869565,5,6.2,3.263157894736842
23,47,1.5217391304347827,3,4.5,2.7
21,71,4.0476190476190474,8,4.0588235294117645,3.6315789473684212
20,40,1.7,4,3.142857142857143,2.4444444444444446
23,42,2.217391304347826,4,6.5,2.0
18,30,1.9444444444444444,3,5.5,1.6923076923076923
21,57,4.380952380952381,8,3.9285714285714284,2.8947368421052633
22,64,3.5,7,3.230769230769231,2.3333333333333335
22,62,3.590909090909091,6,3.625,3.0526315789473686
23,82,2.739130434782609,5,4.588235294117647,3.9
20,30,4.05,6,4.666666666666667,1.5555555555555556
29,111,3.9655172413793105,7,5.888888888888889,4.24
27,154,4.444444444444445,8,6.136363636363637,5.625
20,31,4.05,6,4.833333333333333,1.6111111111111112
22,55,2.5454545454545454,6,4.714285714285714,2.357142857142857
31,106,3.6774193548387095,6,6.0,3.7777777777777777
20,32,4.05,6,5.0,1.6666666666666667
22,54,2.5454545454545454,6,4.125,2.357142857142857
26,92,4.0,7,4.631578947368421,3.8260869565217392
24,67,2.7083333333333335,5,3.3076923076923075,2.0476190476190474
20,31,4.05,6,4.833333333333333,1.6111111111111112
26,112,3.8076923076923075,7,5.833333333333333,4.7727272727272725
22,57,3.727272727272727,7,4.076923076923077,2.789473684210526
26,82,3.1538461538461537,5,5.2,3.5454545454545454
23,72,2.6956521739130435,5,3.411764705882353,2.9
20,30,4.05,6,4.666666666666667,1.5555555555555556
25,80,3.52,6,5.357142857142857,3.5714285714285716
21,57,3.5714285714285716,7,3.75,2.3684210526315788
28,109,3.7857142857142856,7,5.526315789473684,4.375
23,75,2.782608695652174,5,3.3529411764705883,2.85
28,95,3.25,6,5.294117647058823,3.75
21,53,2.761904761904762,5,3.8181818181818183,2.210526315789474
18,43,2.9444444444444446,6,3.0,2.7857142857142856
19,56,3.0526315789473686,6,3.3846153846153846,2.933333333333333
19,29,3.9473684210526314,6,4.5,1.588235294117647
21,52,3.9523809523809526,6,4.545454545454546,2.6315789473684212
22,67,3.6818181818181817,6,4.538461538461538,3.1052631578947367
20,31,1.75,4,3.0,1.5
22,65,2.727272727272727,5,4.066666666666666,3.388888888888889
23,63,3.5217391304347827,6,3.933333333333333,2.95
20,54,2.65,5,4.5,2.8125
25,83,3.6,6,5.833333333333333,3.3333333333333335
20,30,4.05,6,4.666666666666667,1.5555555555555556
23,75,2.608695652173913,5,4.733333333333333,3.55
28,94,3.25,6,5.933333333333334,3.7083333333333335
26,81,3.1923076923076925,6,4.75,3.4545454545454546
20,45,3.4,6,3.8181818181818183,2.3333333333333335
18,30,2.1666666666666665,4,3.4,1.5454545454545454
19,44,3.263157894736842,5,5.428571428571429,2.375
28,88,3.107142857142857,5,5.928571428571429,3.4583333333333335
24,67,2.9583333333333335,5,4.769230769230769,3.1
22,64,2.6363636363636362,5,3.25,2.736842105263158
19,36,3.5789473684210527,5,4.285714285714286,1.7647058823529411
22,64,3.8636363636363638,8,4.538461538461538,3.1052631578947367
29,108,3.3793103448275863,6,5.666666666666667,4.08
21,62,2.6666666666666665,5,3.357142857142857,2.764705882352941
22,65,2.6363636363636362,5,3.375,2.8421052631578947
29,98,3.4482758620689653,6,4.111111111111111,2.96
19,32,2.473684210526316,4,5.0,1.4705882352941178
23,66,3.652173913043478,7,3.909090909090909,2.263157894736842
27,103,3.4074074074074074,6,5.157894736842105,4.260869565217392
22,59,2.8636363636363638,5,3.2142857142857144,2.25
20,30,4.15,6,4.666666666666667,1.5555555555555556
24,97,3.5,7,4.55,4.55
23,89,3.391304347826087,7,5.0,4.2105263157894735
26,115,3.576923076923077,7,4.904761904761905,4.681818181818182
19,28,4.052631578947368,6,4.333333333333333,1.5294117647058822
21,64,2.7142857142857144,5,4.285714285714286,3.3333333333333335
24,73,3.875,7,4.928571428571429,3.2857142857142856
24,84,3.5,7,4.05,3.857142857142857
21,61,2.5238095238095237,5,3.7333333333333334,3.2941176470588234
19,29,3.9473684210526314,6,4.5,1.588235294117647
27,93,3.4814814814814814,6,5.5625,3.869565217391304
25,94,3.04,6,4.7368421052631575,4.090909090909091
20,42,3.4,6,4.5,2.0
17,21,1.3529411764705883,2,4.5,1.5
20,25,1.3,2,4.5,1.5
19,50,3.8947368421052633,7,3.5384615384615383,2.7058823529411766
20,48,2.65,5,3.1666666666666665,2.533333333333333
24,81,2.7083333333333335,5,5.454545454545454,3.5294117647058822
23,44,1.5217391304347827,3,3.4285714285714284,2.4
21,84,4.380952380952381,8,4.529411764705882,4.052631578947368
21,39,1.5238095238095237,4,3.6,2.25
24,37,1.6666666666666667,4,4.0,1.7777777777777777
18,29,1.9444444444444444,3,5.0,1.5384615384615385
28,99,3.7142857142857144,6,5.714285714285714,3.3333333333333335
24,75,4.416666666666667,8,4.5,3.272727272727273
29,112,3.793103448275862,7,5.631578947368421,4.28
21,65,2.7142857142857144,5,3.4,2.8333333333333335
23,70,3.0869565217391304,6,4.571428571428571,3.3684210526315788
21,59,2.9047619047619047,5,3.0625,2.5789473684210527
18,27,3.9444444444444446,6,4.166666666666667,1.5625
20,49,2.75,5,3.8181818181818183,2.625
26,98,3.5384615384615383,6,5.470588235294118,4.2272727272727275
