step,train_loss,val_loss,avg_active_cells,avg_active_edges,avg_fanin,avg_soft_fanin,avg_effective_depth,step_widths,graph_entropy,top1_coverage,top4_coverage,top8_coverage,top16_coverage,unique_graphs,node_usage_entropy,edge_usage_entropy,dead_cell_ratio,node_usage_gini,active_cell_macs,skipped_cell_macs,router_parameters,router_macs_per_token,temperature,exploration,dual_value,router_gradient_norm,node_score_std,edge_score_std,std_active_cells,min_active_cells,max_active_cells,std_depth,min_depth,max_depth,empty_step_fraction
0,4.226767539978027,4.22556209564209,32.0,320.0,10.0,1.0,8.0,"[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]",-0.0,1.0,1.0,1.0,1.0,1,3.465735912322998,5.7683210372924805,0.0,0.0,524288.0,0.0,28072,212224,1.5,0.0,0.0,0.0,0.0024358793161809444,0.0013719153357669711,0.0,32.0,32.0,0.0,8.0,8.0,0.0
100,2.6073904037475586,2.6074652671813965,32.0,306.9013671875,9.590667724609375,1.0,8.0,"[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]",3.8201286792755127,0.34033203125,0.45166015625,0.53466796875,0.6318359375,331,3.465735912322998,5.758237361907959,0.0,0.0,524288.0,0.0,28072,212224,1.375,0.0,0.0,0.021901286569826827,0.028579870238900185,0.03675121068954468,0.0,32.0,32.0,0.0,8.0,8.0,0.0
200,2.4459056854248047,2.4553933143615723,31.7802734375,232.33935546875,7.3108038902282715,1.0,7.16796875,"[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.7802734375]",6.899275779724121,0.07421875,0.1064453125,0.123046875,0.14697265625,1543,3.464937448501587,5.7312822341918945,0.0,0.006697868928313255,520688.0,3600.0,28072,212224,1.25,0.0,0.0,0.04963196872545371,0.0831511914730072,0.15688106417655945,0.4140613377094269,31.0,32.0,1.1272153854370117,4.0,8.0,0.0
300,2.3356528282165527,2.329082489013672,31.283203125,189.703125,6.064056396484375,0.9999999403953552,7.05908203125,"[4.0, 4.0, 4.0, 4.0, 4.0, 3.8896484375, 3.853515625, 3.5400390625]",7.496923446655273,0.005859375,0.017578125,0.0283203125,0.04150390625,1903,3.4635562896728516,5.705471992492676,0.0,0.02050555683672428,512544.0,11744.0,28072,212224,1.125,0.0,0.0,0.060246284990740605,0.10941987484693527,2441.2236328125,1.1708834171295166,28.0,32.0,1.0532342195510864,3.0,8.0,0.0
400,2.2743966579437256,2.261000633239746,30.6708984375,161.1005859375,5.252554893493652,0.9999999403953552,6.6220703125,"[4.0, 4.0, 4.0, 4.0, 3.9775390625, 3.70703125, 3.740234375, 3.24609375]",7.576340675354004,0.00341796875,0.009765625,0.015625,0.0234375,1986,3.461148500442505,5.675394058227539,0.0,0.036017049103975296,502512.0,21776.0,28072,212224,1.0,0.0,0.0,0.06672221176854934,0.12902206182479858,3845.64599609375,1.361113429069519,27.0,32.0,1.2186462879180908,3.0,8.0,0.0
500,2.209294080734253,2.198627471923828,30.1630859375,150.083984375,4.975749969482422,1.0,6.61767578125,"[3.9873046875, 3.99560546875, 4.0, 3.9990234375, 3.96875, 3.52490234375, 3.42431640625, 3.26318359375]",7.580517768859863,0.00390625,0.0107421875,0.0166015625,0.02685546875,1996,3.461623191833496,5.668344497680664,0.0,0.0435023233294487,494192.0,30096.0,28072,212224,0.875,0.0,0.0,0.09508631850499578,0.13427574932575226,5199.244140625,1.7907544374465942,25.0,32.0,1.3389521837234497,2.0,8.0,0.0
600,2.116173505783081,2.135662078857422,29.53369140625,141.81005859375,4.801636695861816,0.9999999403953552,6.7734375,"[3.95703125, 3.9189453125, 3.99755859375, 3.97802734375, 3.919921875, 3.34130859375, 3.380859375, 3.0400390625]",7.598262310028076,0.00244140625,0.00732421875,0.01171875,0.01953125,2013,3.459970712661743,5.669994354248047,0.0,0.05473722890019417,483880.0,40408.0,28072,212224,0.75,0.0,0.0,0.14048046028312727,0.1376245766878128,6495.6201171875,2.0558221340179443,23.0,32.0,1.2591220140457153,2.0,8.0,0.0
700,2.0424201488494873,2.114544630050659,28.8583984375,125.78076171875,4.35854959487915,1.0,6.49609375,"[3.96435546875, 3.88330078125, 3.95263671875, 3.94970703125, 3.84033203125, 3.11767578125, 3.19677734375, 2.95361328125]",7.580814361572266,0.00390625,0.01123046875,0.017578125,0.0263671875,1997,3.4571352005004883,5.625197887420654,0.0,0.06770709902048111,472816.0,51472.0,28072,212224,0.625,0.0,0.0,0.13904313568448565,0.13936090469360352,7798.89990234375,2.3614885807037354,20.0,32.0,1.338282585144043,2.0,8.0,0.0
800,2.010928153991699,2.0662574768066406,28.076171875,111.6982421875,3.978400230407715,1.0,6.20458984375,"[3.958984375, 3.810546875, 3.8779296875, 3.88525390625, 3.72314453125, 2.98779296875, 3.09521484375, 2.7373046875]",7.595844268798828,0.00146484375,0.005859375,0.009765625,0.017578125,2007,3.4543118476867676,5.600695610046387,0.0,0.07979238778352737,460000.0,64288.0,28072,212224,0.5,0.0,0.0,0.16652662836956914,0.13042539358139038,9069.25,2.582252025604248,19.0,32.0,1.40473473072052,2.0,8.0,0.0
900,1.9969533681869507,2.0413410663604736,26.69189453125,93.46044921875,3.5014541149139404,0.9999999403953552,5.80126953125,"[3.89111328125, 3.76416015625, 3.5361328125, 3.7529296875, 3.54443359375, 2.79345703125, 2.89013671875, 2.51953125]",7.587210178375244,0.0029296875,0.0087890625,0.01513671875,0.0234375,2001,3.4514641761779785,5.560920715332031,0.0,0.0925392135977745,437320.0,86968.0,28072,212224,0.375,0.0,0.0,0.20417151846804582,0.12175656855106354,11267.119140625,3.025169849395752,17.0,32.0,1.5446032285690308,2.0,8.0,0.0
