node,step,cell,usage_frequency,mean_fanin,fanin_distribution,source_distribution,top_token_distribution,position_bucket_distribution,difficulty_quintile_usage,remove_delta_nll,add_gain_nll
0,0,0,1.0,1.0,"{""1"": 1.0}","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[1, 2405], [43, 1367], [58, 919], [53, 882], [39, 844], [46, 761], [57, 755], [52, 704]]","{""0"": 2048, ""1"": 2048, ""2"": 2048, ""3"": 2048, ""4"": 2048, ""5"": 2048, ""6"": 2048, ""7"": 2048}","[1.0, 1.0, 1.0, 1.0, 1.0]",0.024030517786741257,0.0
1,0,1,0.778076171875,1.0,"{""1"": 1.0}","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[43, 1367], [58, 919], [53, 882], [39, 844], [46, 761], [57, 755], [52, 704], [47, 699]]","{""0"": 1573, ""1"": 1568, ""2"": 1556, ""3"": 1576, ""4"": 1595, ""5"": 1622, ""6"": 1624, ""7"": 1634}","[0.9310344827586207, 0.9639914555996338, 0.7936507936507936, 0.5675923100396705, 0.6341165700335673]",-0.0027765969280153513,-0.010790681466460228
2,0,2,0.999755859375,1.0,"{""1"": 1.0}","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[1, 2405], [43, 1367], [58, 919], [53, 882], [39, 844], [46, 761], [57, 755], [52, 704]]","{""0"": 2046, ""1"": 2048, ""2"": 2046, ""3"": 2048, ""4"": 2048, ""5"": 2048, ""6"": 2048, ""7"": 2048}","[0.9996948428440647, 0.9996948428440647, 1.0, 1.0, 0.9993896856881294]",0.015698468312621117,0.0
3,0,3,0.92974853515625,1.0,"{""1"": 1.0}","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[1, 2405], [43, 1367], [58, 919], [53, 882], [39, 844], [46, 761], [57, 755], [52, 704]]","{""0"": 1892, ""1"": 1890, ""2"": 1914, ""3"": 1905, ""4"": 1925, ""5"": 1913, ""6"": 1899, ""7"": 1895}","[0.9453768690875801, 0.8858712236801953, 0.9325396825396826, 0.9646017699115044, 0.9203539823008849]",0.009563288651406765,-0.0715557262301445
4,1,0,0.77069091796875,3.241070721469866,"{""1"": 0.013938385998257702, ""2"": 0.25017818959372773, ""3"": 0.33420448245822443, ""4"": 0.284232200839471, ""5"": 0.11744674111031916}","[0.27591668646551043, 0.8306010928961749, 0.5435178585570603, 0.9102716401362161, 0.6807634434149046, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[1, 1727], [58, 919], [46, 761], [52, 704], [47, 699], [53, 690], [56, 677], [50, 474]]","{""0"": 1712, ""1"": 1696, ""2"": 1670, ""3"": 1616, ""4"": 1522, ""5"": 1472, ""6"": 1540, ""7"": 1399}","[0.8776319804699421, 0.8425389075373817, 0.7448107448107448, 0.6771437290204455, 0.7113213304851999]",0.010915874503552914,-0.07857903093099594
5,1,1,0.95965576171875,3.5358392164345225,"{""1"": 0.015900273484703936, ""2"": 0.17095974050753673, ""3"": 0.24937988933409655, ""4"": 0.3889206894358583, ""5"": 0.1748394072378045}","[0.6081536602429561, 0.774915728550531, 0.5607072441645996, 0.8493290084589455, 0.7427335750174903, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[1, 2405], [43, 1367], [58, 919], [53, 882], [39, 844], [46, 761], [57, 755], [52, 703]]","{""0"": 1973, ""1"": 1959, ""2"": 1949, ""3"": 1971, ""4"": 1972, ""5"": 1959, ""6"": 1965, ""7"": 1975}","[0.9618553555080867, 0.996032956972841, 0.9478021978021978, 0.9490387549588037, 0.9435459261519683]",0.006000814959406853,-0.18537306785583496
6,1,2,0.844482421875,3.0508094825093957,"{""1"": 0.04668979473836369, ""2"": 0.32762359063313096, ""3"": 0.21075455333911536, ""4"": 0.35805145995952586, ""5"": 0.056880601329864125}","[0.22412546978895634, 0.9226655102630819, 0.582104654524429, 0.9061867591789534, 0.4157270887539751, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[1, 2405], [43, 1367], [58, 919], [53, 882], [39, 844], [46, 761], [57, 755], [52, 704]]","{""0"": 1690, ""1"": 1712, ""2"": 1739, ""3"": 1744, ""4"": 1745, ""5"": 1736, ""6"": 1736, ""7"": 1734}","[0.8428440646933171, 0.7650289899298138, 0.8421855921855922, 0.8913640524870308, 0.8809887091852304]",0.03278949856758118,-0.09281313419342041
7,1,3,0.9271240234375,3.183015141540487,"{""1"": 0.02185648452929559, ""2"": 0.28123765635286374, ""3"": 0.319486504279131, ""4"": 0.2468729427254773, ""5"": 0.1305464121132324}","[0.5812376563528637, 0.8350230414746543, 0.4325213956550362, 0.8944700460829493, 0.4397630019749835, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[1, 2405], [43, 1367], [58, 919], [53, 882], [39, 844], [46, 761], [57, 755], [52, 704]]","{""0"": 1881, ""1"": 1895, ""2"": 1814, ""3"": 1921, ""4"": 1915, ""5"": 1912, ""6"": 1912, ""7"": 1940}","[0.9401891974366798, 0.934391211473909, 0.9065934065934066, 0.9389685688129387, 0.91547146780592]",0.008931242860853672,-0.10837078839540482
8,2,0,0.84173583984375,3.5396272931622073,"{""1"": 0.1746066275106954, ""2"": 0.11108694075846566, ""3"": 0.23696613733594374, ""4"": 0.14190414038140817, ""5"": 0.18606337466463635, ""6"": 0.11224711768544703, ""7"": 0.03647306214197665, ""8"": 0.0006525995214270176}","[0.10731636574577623, 0.5904575447755783, 0.4910448843448626, 0.5821912841708361, 0.5403524037415706, 0.15930679428612862, 0.308607062577043, 0.5210644623305054, 0.23928649118990647, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[1, 2405], [43, 1228], [58, 908], [53, 882], [39, 836], [46, 761], [47, 699], [0, 661]]","{""0"": 1718, ""1"": 1719, ""2"": 1736, ""3"": 1736, ""4"": 1716, ""5"": 1700, ""6"": 1742, ""7"": 1724}","[0.8309429356118401, 0.8028684772657919, 0.8559218559218559, 0.8931949954226427, 0.8257552639609399]",0.012964179739356041,-0.03731291741132736
9,2,1,0.8406982421875,3.3623493538550893,"{""1"": 0.17460432699288514, ""2"": 0.1564541890518368, ""3"": 0.20734717583853637, ""4"": 0.1794685639610861, ""5"": 0.18164658051401192, ""6"": 0.07833599535356468, ""7"": 0.020473355597502543, ""8"": 0.0016698126905764484}","[0.15253375925657034, 0.5467547553361406, 0.273268476840424, 0.5898794830840715, 0.4175257731958763, 0.1134020618556701, 0.30797154058370846, 0.5646870916218963, 0.3963264120807318, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[1, 2405], [43, 1367], [58, 919], [53, 882], [39, 844], [46, 761], [57, 755], [52, 704]]","{""0"": 1719, ""1"": 1735, ""2"": 1673, ""3"": 1761, ""4"": 1746, ""5"": 1731, ""6"": 1700, ""7"": 1709}","[0.8407079646017699, 0.8077509917607568, 0.8324175824175825, 0.893500152578578, 0.8291119926762283]",0.0030813158955425024,-0.049399834126234055
