rank,source,target
1,current,C0
1,current,C2
1,current,C3
1,C0,C4
1,C2,C4
1,C0,C5
1,C2,C5
1,C0,C6
1,C2,C6
1,C0,C7
1,C2,C7
1,C6,C8
1,C6,C9
1,C0,C10
1,C6,C10
1,C2,C12
1,C6,C12
1,C2,C13
1,C6,C13
1,C2,C14
1,C6,C14
1,C6,C15
1,C6,C16
1,C6,C17
1,C13,C17
1,C6,C19
1,C17,C21
1,C17,C22
1,C13,C23
1,C17,C23
1,C17,C26
1,C17,C28
1,C17,C30
2,current,C0
2,current,C2
2,current,C3
2,C0,C4
2,C2,C4
2,C0,C5
2,C2,C5
2,C0,C6
2,C2,C6
2,C0,C7
2,C2,C7
2,C6,C8
2,C6,C9
2,C0,C10
2,C6,C10
2,C2,C12
2,C6,C12
2,C2,C13
2,C6,C13
2,C2,C14
2,C6,C14
2,C6,C15
2,C6,C16
2,C6,C17
2,C13,C17
2,C6,C18
2,C13,C18
2,C6,C19
2,C17,C21
2,C17,C22
2,C13,C23
2,C17,C23
2,C17,C24
2,C17,C26
2,C17,C28
2,C17,C30
3,current,C0
3,current,C2
3,current,C3
3,C0,C4
3,C2,C4
3,C0,C5
3,C2,C5
3,C0,C6
3,C2,C6
3,C0,C7
3,C2,C7
3,C6,C8
3,C6,C9
3,C0,C10
3,C6,C10
3,C2,C12
3,C6,C12
3,C2,C13
3,C6,C13
3,C2,C14
3,C6,C14
3,C6,C15
3,C6,C16
3,C6,C17
3,C13,C17
3,C6,C18
3,C13,C18
3,C6,C19
3,C14,C19
3,C17,C21
3,C17,C22
3,C17,C26
3,C17,C28
3,C17,C30
4,current,C0
4,current,C2
4,current,C3
4,C0,C4
4,C2,C4
4,C0,C5
4,C2,C5
4,C0,C6
4,C2,C6
4,C0,C7
4,C2,C7
4,C6,C8
4,C6,C9
4,C0,C10
4,C6,C10
4,C2,C12
4,C6,C12
4,C2,C13
4,C6,C13
4,C2,C14
4,C6,C14
4,C6,C15
4,C6,C16
4,C6,C17
4,C13,C17
4,C6,C18
4,C13,C18
4,C6,C19
4,C17,C21
4,C17,C22
4,C13,C23
4,C17,C23
4,C17,C26
4,C17,C28
4,C17,C30
5,current,C0
5,current,C2
5,current,C3
5,C0,C4
5,C2,C4
5,C0,C5
5,C2,C5
5,C0,C6
5,C2,C6
5,C0,C7
5,C2,C7
5,C6,C8
5,C6,C9
5,C0,C10
5,C6,C10
5,C2,C12
5,C6,C12
5,C2,C13
5,C6,C13
5,C2,C14
5,C6,C14
5,C6,C15
5,C6,C16
5,C6,C17
5,C13,C17
5,C6,C18
5,C13,C18
5,C6,C19
5,C17,C21
5,C17,C22
5,C17,C26
5,C17,C28
5,C17,C30
6,current,C0
6,current,C2
6,current,C3
6,C0,C5
6,C2,C5
6,C0,C6
6,C2,C6
6,C0,C7
6,C2,C7
6,C6,C8
6,C6,C9
6,C0,C10
6,C6,C10
6,C2,C12
6,C6,C12
6,C2,C13
6,C6,C13
6,C2,C14
6,C6,C14
6,C6,C15
6,C6,C16
6,C6,C17
6,C13,C17
6,C6,C19
6,C17,C21
6,C17,C22
6,C13,C23
6,C17,C23
6,C17,C26
6,C17,C28
6,C17,C30
7,current,C0
7,current,C2
7,current,C3
7,C0,C6
7,current,C7
7,C0,C7
7,current,C8
7,C0,C8
7,current,C9
7,C0,C9
7,current,C11
7,C0,C11
7,current,C12
7,current,C13
7,current,C14
7,current,C15
7,current,C16
7,current,C17
7,current,C18
7,current,C19
7,current,C21
7,current,C22
7,current,C24
7,current,C26
7,current,C28
7,current,C30
7,current,C31
8,current,C0
8,current,C2
8,current,C3
8,C0,C4
8,C2,C4
8,C0,C5
8,C2,C5
8,C0,C6
8,C2,C6
8,C0,C7
8,C2,C7
8,C6,C8
8,C6,C9
8,C0,C10
8,C6,C10
8,C2,C12
8,C6,C12
8,C2,C13
8,C6,C13
8,C2,C14
8,C6,C14
8,C2,C15
8,C6,C15
8,C6,C16
8,C6,C17
8,C13,C17
8,C6,C18
8,C13,C18
8,C6,C19
8,C13,C19
8,C17,C21
8,C17,C22
8,C13,C23
8,C17,C23
8,C17,C24
8,C17,C26
8,C17,C28
8,C17,C30
