node,step,cell,usage_frequency,mean_fanin,fanin_distribution,source_distribution,top_token_distribution,position_bucket_distribution,difficulty_quintile_usage,remove_delta_nll,add_gain_nll
0,0,0,1.0,1.0,"{""1"": 1.0}","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[43, 9], [1, 8], [57, 6], [0, 4], [56, 4], [58, 4], [46, 3], [20, 2]]","{""0"": 64}","[1.0, 1.0, 1.0, 1.0, 1.0]",0.0008189678192138672,0.0
1,0,1,1.0,1.0,"{""1"": 1.0}","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[43, 9], [1, 8], [57, 6], [0, 4], [56, 4], [58, 4], [46, 3], [20, 2]]","{""0"": 64}","[1.0, 1.0, 1.0, 1.0, 1.0]",0.013318561017513275,0.0
2,0,2,1.0,1.0,"{""1"": 1.0}","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[43, 9], [1, 8], [57, 6], [0, 4], [56, 4], [58, 4], [46, 3], [20, 2]]","{""0"": 64}","[1.0, 1.0, 1.0, 1.0, 1.0]",-0.0033486634492874146,0.0
3,0,3,1.0,1.0,"{""1"": 1.0}","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[43, 9], [1, 8], [57, 6], [0, 4], [56, 4], [58, 4], [46, 3], [20, 2]]","{""0"": 64}","[1.0, 1.0, 1.0, 1.0, 1.0]",-0.0023083165287971497,0.0
4,1,0,1.0,5.0,"{""5"": 1.0}","[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[43, 9], [1, 8], [57, 6], [0, 4], [56, 4], [58, 4], [46, 3], [20, 2]]","{""0"": 64}","[1.0, 1.0, 1.0, 1.0, 1.0]",0.0034666061401367188,0.0
5,1,1,1.0,5.0,"{""5"": 1.0}","[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[43, 9], [1, 8], [57, 6], [0, 4], [56, 4], [58, 4], [46, 3], [20, 2]]","{""0"": 64}","[1.0, 1.0, 1.0, 1.0, 1.0]",0.00479300320148468,0.0
6,1,2,1.0,5.0,"{""5"": 1.0}","[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[43, 9], [1, 8], [57, 6], [0, 4], [56, 4], [58, 4], [46, 3], [20, 2]]","{""0"": 64}","[1.0, 1.0, 1.0, 1.0, 1.0]",-0.0004953518509864807,0.0
7,1,3,1.0,5.0,"{""5"": 1.0}","[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[43, 9], [1, 8], [57, 6], [0, 4], [56, 4], [58, 4], [46, 3], [20, 2]]","{""0"": 64}","[1.0, 1.0, 1.0, 1.0, 1.0]",-0.012075662612915039,0.0
8,2,0,1.0,9.0,"{""9"": 1.0}","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[43, 9], [1, 8], [57, 6], [0, 4], [56, 4], [58, 4], [46, 3], [20, 2]]","{""0"": 64}","[1.0, 1.0, 1.0, 1.0, 1.0]",-0.001506604254245758,0.0
9,2,1,1.0,9.0,"{""9"": 1.0}","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[43, 9], [1, 8], [57, 6], [0, 4], [56, 4], [58, 4], [46, 3], [20, 2]]","{""0"": 64}","[1.0, 1.0, 1.0, 1.0, 1.0]",-0.008302219212055206,0.0
