active_cells,active_edges,average_path_length,longest_path,average_branching_factor,average_merge_factor
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
32,320,4.5,8,9.0,9.0
