rank,source,target
1,current,C0
1,current,C1
1,current,C2
1,current,C3
1,current,C4
1,C0,C4
1,C1,C4
1,C2,C4
1,C3,C4
1,current,C5
1,C0,C5
1,C1,C5
1,C2,C5
1,C3,C5
1,current,C6
1,C0,C6
1,C1,C6
1,C2,C6
1,C3,C6
1,current,C7
1,C0,C7
1,C1,C7
1,C2,C7
1,C3,C7
1,current,C8
1,C0,C8
1,C1,C8
1,C2,C8
1,C3,C8
1,C4,C8
1,C5,C8
1,C6,C8
1,C7,C8
1,current,C9
1,C0,C9
1,C1,C9
1,C2,C9
1,C3,C9
1,C4,C9
1,C5,C9
1,C6,C9
1,C7,C9
1,current,C10
1,C0,C10
1,C1,C10
1,C2,C10
1,C3,C10
1,C4,C10
1,C5,C10
1,C6,C10
1,C7,C10
1,current,C11
1,C0,C11
1,C1,C11
1,C2,C11
1,C3,C11
1,C4,C11
1,C5,C11
1,C6,C11
1,C7,C11
1,current,C12
1,C0,C12
1,C1,C12
1,C2,C12
1,C3,C12
1,C4,C12
1,C5,C12
1,C6,C12
1,C7,C12
1,C8,C12
1,C9,C12
1,C10,C12
1,C11,C12
1,current,C13
1,C0,C13
1,C1,C13
1,C2,C13
1,C3,C13
1,C4,C13
1,C5,C13
1,C6,C13
1,C7,C13
1,C8,C13
1,C9,C13
1,C10,C13
1,C11,C13
1,current,C14
1,C0,C14
1,C1,C14
1,C2,C14
1,C3,C14
1,C4,C14
1,C5,C14
1,C6,C14
1,C7,C14
1,C8,C14
1,C9,C14
1,C10,C14
1,C11,C14
1,current,C15
1,C0,C15
1,C1,C15
1,C2,C15
1,C3,C15
1,C4,C15
1,C5,C15
1,C6,C15
1,C7,C15
1,C8,C15
1,C9,C15
1,C10,C15
1,C11,C15
1,current,C16
1,C4,C16
1,C5,C16
1,C6,C16
1,C7,C16
1,C8,C16
1,C9,C16
1,C10,C16
1,C11,C16
1,C12,C16
1,C13,C16
1,C14,C16
1,C15,C16
1,current,C17
1,C4,C17
1,C5,C17
1,C6,C17
1,C7,C17
1,C8,C17
1,C9,C17
1,C10,C17
1,C11,C17
1,C12,C17
1,C13,C17
1,C14,C17
1,C15,C17
1,current,C18
1,C4,C18
1,C5,C18
1,C6,C18
1,C7,C18
1,C8,C18
1,C9,C18
1,C10,C18
1,C11,C18
1,C12,C18
1,C13,C18
1,C14,C18
1,C15,C18
1,current,C19
1,C4,C19
1,C5,C19
1,C6,C19
1,C7,C19
1,C8,C19
1,C9,C19
1,C10,C19
1,C11,C19
1,C12,C19
1,C13,C19
1,C14,C19
1,C15,C19
1,current,C20
1,C8,C20
1,C9,C20
1,C10,C20
1,C11,C20
1,C12,C20
1,C13,C20
1,C14,C20
1,C15,C20
1,C16,C20
1,C17,C20
1,C18,C20
1,C19,C20
1,current,C21
1,C8,C21
1,C9,C21
1,C10,C21
1,C11,C21
1,C12,C21
1,C13,C21
1,C14,C21
1,C15,C21
1,C16,C21
1,C17,C21
1,C18,C21
1,C19,C21
1,current,C22
1,C8,C22
1,C9,C22
1,C10,C22
1,C11,C22
1,C12,C22
1,C13,C22
1,C14,C22
1,C15,C22
1,C16,C22
1,C17,C22
1,C18,C22
1,C19,C22
1,current,C23
1,C8,C23
1,C9,C23
1,C10,C23
1,C11,C23
1,C12,C23
1,C13,C23
1,C14,C23
1,C15,C23
1,C16,C23
1,C17,C23
1,C18,C23
1,C19,C23
1,current,C24
1,C12,C24
1,C13,C24
1,C14,C24
1,C15,C24
1,C16,C24
1,C17,C24
1,C18,C24
1,C19,C24
1,C20,C24
1,C21,C24
1,C22,C24
1,C23,C24
1,current,C25
1,C12,C25
1,C13,C25
1,C14,C25
1,C15,C25
1,C16,C25
1,C17,C25
1,C18,C25
1,C19,C25
1,C20,C25
1,C21,C25
1,C22,C25
1,C23,C25
1,current,C26
1,C12,C26
1,C13,C26
1,C14,C26
1,C15,C26
1,C16,C26
1,C17,C26
1,C18,C26
1,C19,C26
1,C20,C26
1,C21,C26
1,C22,C26
1,C23,C26
1,current,C27
1,C12,C27
1,C13,C27
1,C14,C27
1,C15,C27
1,C16,C27
1,C17,C27
1,C18,C27
1,C19,C27
1,C20,C27
1,C21,C27
1,C22,C27
1,C23,C27
1,current,C28
1,C16,C28
1,C17,C28
1,C18,C28
1,C19,C28
1,C20,C28
1,C21,C28
1,C22,C28
1,C23,C28
1,C24,C28
1,C25,C28
1,C26,C28
1,C27,C28
1,current,C29
1,C16,C29
1,C17,C29
1,C18,C29
1,C19,C29
1,C20,C29
1,C21,C29
1,C22,C29
1,C23,C29
1,C24,C29
1,C25,C29
1,C26,C29
1,C27,C29
1,current,C30
1,C16,C30
1,C17,C30
1,C18,C30
1,C19,C30
1,C20,C30
1,C21,C30
1,C22,C30
1,C23,C30
1,C24,C30
1,C25,C30
1,C26,C30
1,C27,C30
1,current,C31
1,C16,C31
1,C17,C31
1,C18,C31
1,C19,C31
1,C20,C31
1,C21,C31
1,C22,C31
1,C23,C31
1,C24,C31
1,C25,C31
1,C26,C31
1,C27,C31
