step,train_loss,val_loss,avg_active_cells,avg_active_edges,avg_fanin,avg_soft_fanin,avg_effective_depth,step_widths,graph_entropy,top1_coverage,top4_coverage,top8_coverage,top16_coverage,unique_graphs,node_usage_entropy,edge_usage_entropy,dead_cell_ratio,node_usage_gini,active_cell_macs,skipped_cell_macs,router_parameters,router_macs_per_token,temperature,exploration,dual_value,router_gradient_norm,node_score_std,edge_score_std,std_active_cells,min_active_cells,max_active_cells,std_depth,min_depth,max_depth,empty_step_fraction
0,4.196261405944824,4.189639091491699,9.0,9.0,1.0,1.0,3.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0]",-0.0,1.0,1.0,1.0,1.0,1,2.1972246170043945,2.1972246170043945,0.71875,0.71875,147456.0,376832.0,28072,212224,1.5,0.0,0.0,0.0,0.0022520741913467646,26238.744140625,0.0,9.0,9.0,0.0,3.0,3.0,0.0
100,2.6115803718566895,2.620868682861328,9.0,9.0,1.0,1.0,3.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0]",-0.0,1.0,1.0,1.0,1.0,1,2.1972246170043945,2.1972246170043945,0.71875,0.71875,147456.0,376832.0,28072,212224,1.375,0.0,0.0,0.0,0.002422908553853631,26238.744140625,0.0,9.0,9.0,0.0,3.0,3.0,0.0
200,2.43790864944458,2.4560229778289795,9.0,9.0,1.0,1.0,3.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0]",-0.0,1.0,1.0,1.0,1.0,1,2.1972246170043945,2.1972246170043945,0.71875,0.71875,147456.0,376832.0,28072,212224,1.25,0.0,0.0,0.0,0.0025359077844768763,26238.744140625,0.0,9.0,9.0,0.0,3.0,3.0,0.0
300,2.331051826477051,2.3320508003234863,9.0,9.0,1.0,1.0,3.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0]",-0.0,1.0,1.0,1.0,1.0,1,2.1972246170043945,2.1972246170043945,0.71875,0.71875,147456.0,376832.0,28072,212224,1.125,0.0,0.0,0.0,0.0026678326539695263,26238.744140625,0.0,9.0,9.0,0.0,3.0,3.0,0.0
400,2.2453434467315674,2.2568840980529785,9.0,9.0,1.0,1.0,3.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0]",-0.0,1.0,1.0,1.0,1.0,1,2.1972246170043945,2.1972246170043945,0.71875,0.71875,147456.0,376832.0,28072,212224,1.0,0.0,0.0,0.0,0.002733926521614194,26238.744140625,0.0,9.0,9.0,0.0,3.0,3.0,0.0
500,2.179588794708252,2.2070815563201904,9.0,9.0,1.0,1.0,3.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0]",-0.0,1.0,1.0,1.0,1.0,1,2.1972246170043945,2.1972246170043945,0.71875,0.71875,147456.0,376832.0,28072,212224,0.875,0.0,0.0,0.0,0.0027253413572907448,26238.744140625,0.0,9.0,9.0,0.0,3.0,3.0,0.0
600,2.1354174613952637,2.1492695808410645,9.0,9.0,1.0,1.0,3.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0]",-0.0,1.0,1.0,1.0,1.0,1,2.1972246170043945,2.1972246170043945,0.71875,0.71875,147456.0,376832.0,28072,212224,0.75,0.0,0.0,0.0,0.002738381503149867,26238.744140625,0.0,9.0,9.0,0.0,3.0,3.0,0.0
700,2.095510959625244,2.114297389984131,9.0,9.0,1.0,1.0,3.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0]",-0.0,1.0,1.0,1.0,1.0,1,2.1972246170043945,2.1972246170043945,0.71875,0.71875,147456.0,376832.0,28072,212224,0.625,0.0,0.0,0.0,0.0026811077259480953,26238.744140625,0.0,9.0,9.0,0.0,3.0,3.0,0.0
800,2.0477590560913086,2.0923244953155518,9.0,9.0,1.0,1.0,3.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0]",-0.0,1.0,1.0,1.0,1.0,1,2.1972246170043945,2.1972246170043945,0.71875,0.71875,147456.0,376832.0,28072,212224,0.5,0.0,0.0,0.0,0.002709649968892336,26238.744140625,0.0,9.0,9.0,0.0,3.0,3.0,0.0
900,2.0249571800231934,2.0698986053466797,9.0,9.0,1.0,1.0,3.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0]",-0.0,1.0,1.0,1.0,1.0,1,2.1972246170043945,2.1972246170043945,0.71875,0.71875,147456.0,376832.0,28072,212224,0.375,0.0,0.0,0.0,0.002663389779627323,26238.744140625,0.0,9.0,9.0,0.0,3.0,3.0,0.0
1000,2.00417160987854,2.061647653579712,9.0,9.0,1.0,1.0,3.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0]",-0.0,1.0,1.0,1.0,1.0,1,2.1972246170043945,2.1972246170043945,0.71875,0.71875,147456.0,376832.0,28072,212224,0.25,0.0,0.0,0.0,0.002668319968506694,26238.744140625,0.0,9.0,9.0,0.0,3.0,3.0,0.0
