step,train_loss,val_loss,avg_active_cells,avg_active_edges,avg_fanin,avg_soft_fanin,avg_effective_depth,step_widths,graph_entropy,top1_coverage,top4_coverage,top8_coverage,top16_coverage,unique_graphs,node_usage_entropy,edge_usage_entropy,dead_cell_ratio,node_usage_gini,active_cell_macs,skipped_cell_macs,router_parameters,router_macs_per_token,temperature,exploration,dual_value,router_gradient_norm,node_score_std,edge_score_std
0,4.203737258911133,4.194963455200195,23.0,41.0,1.7826087474822998,1.0,6.0,"[4.0, 4.0, 3.0, 4.0, 4.0, 2.0, 0.0, 2.0]",-0.0,1.0,1.0,1.0,1.0,1,3.1354942321777344,3.7135720252990723,0.28125,0.28125,376832.0,147456.0,28072,212224,1.5,0.0,0.0,0.0,0.0022513223811984062,13089.421875
100,2.601325511932373,2.6071290969848633,23.0,41.0,1.7826087474822998,1.0,6.0,"[4.0, 4.0, 3.0, 4.0, 4.0, 2.0, 0.0, 2.0]",-0.0,1.0,1.0,1.0,1.0,1,3.1354942321777344,3.7135720252990723,0.28125,0.28125,376832.0,147456.0,28072,212224,1.375,0.0,0.0,0.0,0.0024415231309831142,13089.421875
200,2.4438586235046387,2.462362766265869,23.0,41.0,1.7826087474822998,1.0,6.0,"[4.0, 4.0, 3.0, 4.0, 4.0, 2.0, 0.0, 2.0]",-0.0,1.0,1.0,1.0,1.0,1,3.1354942321777344,3.7135720252990723,0.28125,0.28125,376832.0,147456.0,28072,212224,1.25,0.0,0.0,0.0,0.002674010582268238,13089.421875
300,2.363541841506958,2.3644232749938965,23.0,41.0,1.7826087474822998,1.0,6.0,"[4.0, 4.0, 3.0, 4.0, 4.0, 2.0, 0.0, 2.0]",-0.0,1.0,1.0,1.0,1.0,1,3.1354942321777344,3.7135720252990723,0.28125,0.28125,376832.0,147456.0,28072,212224,1.125,0.0,0.0,0.0,0.002780674723908305,13089.421875
400,2.268569231033325,2.284287929534912,23.0,41.0,1.7826087474822998,1.0,6.0,"[4.0, 4.0, 3.0, 4.0, 4.0, 2.0, 0.0, 2.0]",-0.0,1.0,1.0,1.0,1.0,1,3.1354942321777344,3.7135720252990723,0.28125,0.28125,376832.0,147456.0,28072,212224,1.0,0.0,0.0,0.0,0.0028234710916876793,13089.423828125
500,2.1895458698272705,2.213118553161621,23.0,41.0,1.7826087474822998,1.0,6.0,"[4.0, 4.0, 3.0, 4.0, 4.0, 2.0, 0.0, 2.0]",-0.0,1.0,1.0,1.0,1.0,1,3.1354942321777344,3.7135720252990723,0.28125,0.28125,376832.0,147456.0,28072,212224,0.875,0.0,0.0,0.0,0.0028721955604851246,13089.4228515625
600,2.1397125720977783,2.1525630950927734,23.0,41.0,1.7826087474822998,1.0,6.0,"[4.0, 4.0, 3.0, 4.0, 4.0, 2.0, 0.0, 2.0]",-0.0,1.0,1.0,1.0,1.0,1,3.1354942321777344,3.7135720252990723,0.28125,0.28125,376832.0,147456.0,28072,212224,0.75,0.0,0.0,0.0,0.0028073948342353106,13089.4228515625
700,2.097679376602173,2.1167454719543457,23.0,41.0,1.7826087474822998,1.0,6.0,"[4.0, 4.0, 3.0, 4.0, 4.0, 2.0, 0.0, 2.0]",-0.0,1.0,1.0,1.0,1.0,1,3.1354942321777344,3.7135720252990723,0.28125,0.28125,376832.0,147456.0,28072,212224,0.625,0.0,0.0,0.0,0.0027222849894315004,13089.4228515625
800,2.04844331741333,2.092395544052124,23.0,41.0,1.7826087474822998,1.0,6.0,"[4.0, 4.0, 3.0, 4.0, 4.0, 2.0, 0.0, 2.0]",-0.0,1.0,1.0,1.0,1.0,1,3.1354942321777344,3.7135720252990723,0.28125,0.28125,376832.0,147456.0,28072,212224,0.5,0.0,0.0,0.0,0.002737613394856453,13089.421875
900,2.0291011333465576,2.0769855976104736,23.0,41.0,1.7826087474822998,1.0,6.0,"[4.0, 4.0, 3.0, 4.0, 4.0, 2.0, 0.0, 2.0]",-0.0,1.0,1.0,1.0,1.0,1,3.1354942321777344,3.7135720252990723,0.28125,0.28125,376832.0,147456.0,28072,212224,0.375,0.0,0.0,0.0,0.0026966570876538754,13089.421875
1000,2.004793882369995,2.067065477371216,23.0,41.0,1.7826087474822998,1.0,6.0,"[4.0, 4.0, 3.0, 4.0, 4.0, 2.0, 0.0, 2.0]",-0.0,1.0,1.0,1.0,1.0,1,3.1354942321777344,3.7135720252990723,0.28125,0.28125,376832.0,147456.0,28072,212224,0.25,0.0,0.0,0.0,0.002684485400095582,13089.4228515625
