step,train_loss,val_loss,avg_active_cells,avg_active_edges,avg_fanin,avg_soft_fanin,avg_effective_depth,step_widths,graph_entropy,top1_coverage,top4_coverage,top8_coverage,top16_coverage,unique_graphs,node_usage_entropy,edge_usage_entropy,dead_cell_ratio,node_usage_gini,active_cell_macs,skipped_cell_macs,router_parameters,router_macs_per_token,temperature,exploration,dual_value,router_gradient_norm,node_score_std,edge_score_std,std_active_cells,min_active_cells,max_active_cells,std_depth,min_depth,max_depth,empty_step_fraction
0,4.217674732208252,4.213141441345215,22.0,43.0,1.954545497894287,1.0,6.0,"[4.0, 4.0, 3.0, 4.0, 2.0, 1.0, 1.0, 3.0]",-0.0,1.0,1.0,1.0,1.0,1,3.0910425186157227,3.761200189590454,0.3125,0.3125,360448.0,163840.0,28072,212224,1.5,0.0,0.0,0.0,0.002332501346245408,16510.783203125,0.0,22.0,22.0,0.0,6.0,6.0,0.0
100,2.592067241668701,2.5964231491088867,22.0,43.0,1.954545497894287,1.0,6.0,"[4.0, 4.0, 3.0, 4.0, 2.0, 1.0, 1.0, 3.0]",-0.0,1.0,1.0,1.0,1.0,1,3.0910425186157227,3.761200189590454,0.3125,0.3125,360448.0,163840.0,28072,212224,1.375,0.0,0.0,0.0,0.0023456746712327003,16510.783203125,0.0,22.0,22.0,0.0,6.0,6.0,0.0
200,2.4602158069610596,2.4660305976867676,22.0,43.0,1.954545497894287,1.0,6.0,"[4.0, 4.0, 3.0, 4.0, 2.0, 1.0, 1.0, 3.0]",-0.0,1.0,1.0,1.0,1.0,1,3.0910425186157227,3.761200189590454,0.3125,0.3125,360448.0,163840.0,28072,212224,1.25,0.0,0.0,0.0,0.0024773648474365473,16510.783203125,0.0,22.0,22.0,0.0,6.0,6.0,0.0
300,2.33375883102417,2.3431220054626465,22.0,43.0,1.954545497894287,1.0,6.0,"[4.0, 4.0, 3.0, 4.0, 2.0, 1.0, 1.0, 3.0]",-0.0,1.0,1.0,1.0,1.0,1,3.0910425186157227,3.761200189590454,0.3125,0.3125,360448.0,163840.0,28072,212224,1.125,0.0,0.0,0.0,0.0026520565152168274,16510.783203125,0.0,22.0,22.0,0.0,6.0,6.0,0.0
400,2.2739949226379395,2.2826383113861084,22.0,43.0,1.954545497894287,1.0,6.0,"[4.0, 4.0, 3.0, 4.0, 2.0, 1.0, 1.0, 3.0]",-0.0,1.0,1.0,1.0,1.0,1,3.0910425186157227,3.761200189590454,0.3125,0.3125,360448.0,163840.0,28072,212224,1.0,0.0,0.0,0.0,0.002828351454809308,16510.783203125,0.0,22.0,22.0,0.0,6.0,6.0,0.0
500,2.208688259124756,2.2325103282928467,22.0,43.0,1.954545497894287,1.0,6.0,"[4.0, 4.0, 3.0, 4.0, 2.0, 1.0, 1.0, 3.0]",-0.0,1.0,1.0,1.0,1.0,1,3.0910425186157227,3.761200189590454,0.3125,0.3125,360448.0,163840.0,28072,212224,0.875,0.0,0.0,0.0,0.002865371759980917,16510.783203125,0.0,22.0,22.0,0.0,6.0,6.0,0.0
600,2.151463508605957,2.1846539974212646,22.0,43.0,1.954545497894287,1.0,6.0,"[4.0, 4.0, 3.0, 4.0, 2.0, 1.0, 1.0, 3.0]",-0.0,1.0,1.0,1.0,1.0,1,3.0910425186157227,3.761200189590454,0.3125,0.3125,360448.0,163840.0,28072,212224,0.75,0.0,0.0,0.0,0.0029077918734401464,16510.783203125,0.0,22.0,22.0,0.0,6.0,6.0,0.0
700,2.1144793033599854,2.1578755378723145,22.0,43.0,1.954545497894287,1.0,6.0,"[4.0, 4.0, 3.0, 4.0, 2.0, 1.0, 1.0, 3.0]",-0.0,1.0,1.0,1.0,1.0,1,3.0910425186157227,3.761200189590454,0.3125,0.3125,360448.0,163840.0,28072,212224,0.625,0.0,0.0,0.0,0.0028628588188439608,16510.783203125,0.0,22.0,22.0,0.0,6.0,6.0,0.0
800,2.0721116065979004,2.134578227996826,22.0,43.0,1.954545497894287,1.0,6.0,"[4.0, 4.0, 3.0, 4.0, 2.0, 1.0, 1.0, 3.0]",-0.0,1.0,1.0,1.0,1.0,1,3.0910425186157227,3.761200189590454,0.3125,0.3125,360448.0,163840.0,28072,212224,0.5,0.0,0.0,0.0,0.00285151693969965,16510.783203125,0.0,22.0,22.0,0.0,6.0,6.0,0.0
900,2.066662073135376,2.100538730621338,22.0,43.0,1.954545497894287,1.0,6.0,"[4.0, 4.0, 3.0, 4.0, 2.0, 1.0, 1.0, 3.0]",-0.0,1.0,1.0,1.0,1.0,1,3.0910425186157227,3.761200189590454,0.3125,0.3125,360448.0,163840.0,28072,212224,0.375,0.0,0.0,0.0,0.002833188744261861,16510.783203125,0.0,22.0,22.0,0.0,6.0,6.0,0.0
1000,2.0526809692382812,2.1224911212921143,22.0,43.0,1.954545497894287,1.0,6.0,"[4.0, 4.0, 3.0, 4.0, 2.0, 1.0, 1.0, 3.0]",-0.0,1.0,1.0,1.0,1.0,1,3.0910425186157227,3.761200189590454,0.3125,0.3125,360448.0,163840.0,28072,212224,0.25,0.0,0.0,0.0,0.00282233115285635,16510.783203125,0.0,22.0,22.0,0.0,6.0,6.0,0.0
