step,ppl,full_ppl,average_compute,expected_compute,average_active_layers,average_width,unique_paths,top1_coverage,top4_coverage,top8_coverage,top16_coverage,router_entropy,router_confidence,collapse_warning
0,69.07980247796895,68.1861456787166,1.65625,1.4798650741577148,3.71875,212.0,14,0.1875,0.5,0.75,1.0,1.605337381362915,0.22216805815696716,
100,12.885565861985155,12.880614494341902,3.484375,3.1503124237060547,4.0,446.0,2,0.96875,1.0,1.0,1.0,0.7173423767089844,0.6922256946563721,single_path
200,11.728998342287367,11.759653441885579,3.15625,3.1427221298217773,4.0,404.0,3,0.65625,1.0,1.0,1.0,0.43422433733940125,0.8105285167694092,
300,10.744112592827275,10.80322719608047,2.609375,2.642300605773926,4.0,334.0,2,0.78125,1.0,1.0,1.0,0.1359138786792755,0.9596869945526123,
400,9.967043310077177,9.997473402054524,2.5625,2.5583300590515137,4.0,328.0,2,0.875,1.0,1.0,1.0,0.060140810906887054,0.9785823822021484,
500,9.142965632958063,9.192166027475702,2.59375,2.6087231636047363,4.0,332.0,2,0.8125,1.0,1.0,1.0,0.03862297162413597,0.9874723553657532,
600,8.319901671228887,8.362834433370317,2.59375,2.596864938735962,4.0,332.0,2,0.8125,1.0,1.0,1.0,0.054711952805519104,0.9762372374534607,
700,7.786567331704908,7.858400147472721,2.65625,2.635673999786377,4.0,340.0,2,0.6875,1.0,1.0,1.0,0.05214755982160568,0.9779654741287231,
800,7.685597520198305,7.711108143198758,2.625,2.6311049461364746,4.0,336.0,2,0.75,1.0,1.0,1.0,0.03954946622252464,0.9813895225524902,
900,7.064358066659318,7.1056097028436795,2.59375,2.5831384658813477,4.0,332.0,3,0.78125,1.0,1.0,1.0,0.156797394156456,0.9343955516815186,
1000,7.04489618723545,7.071715436480609,2.296875,2.3101210594177246,4.0,294.0,2,0.90625,1.0,1.0,1.0,0.06518040597438812,0.9798370003700256,
1100,6.705725615628084,6.743073372425507,2.3125,2.32875919342041,4.0,296.0,2,0.875,1.0,1.0,1.0,0.06112473085522652,0.9772586822509766,
1200,6.484327447750041,6.531186214997127,2.296875,2.3275866508483887,4.0,294.0,2,0.90625,1.0,1.0,1.0,0.0605112761259079,0.9778978824615479,
1300,6.740854343708934,6.746926459698009,2.390625,2.415531635284424,4.0,306.0,2,0.71875,1.0,1.0,1.0,0.06469538062810898,0.9763033986091614,
1400,6.118375268174544,6.160022469977842,2.34375,2.389498472213745,4.0,300.0,2,0.8125,1.0,1.0,1.0,0.07321259379386902,0.9728965759277344,
1500,6.479890446030592,6.490324772980026,2.453125,2.4631683826446533,4.0,314.0,2,0.59375,1.0,1.0,1.0,0.1102500706911087,0.9447517395019531,
1600,6.034541602107151,6.058847693054299,2.46875,2.46760892868042,4.0,316.0,2,0.5625,1.0,1.0,1.0,0.09725029766559601,0.9596108794212341,
1700,5.96914208281306,5.953016793358274,2.4375,2.4513099193573,4.0,312.0,2,0.625,1.0,1.0,1.0,0.09557701647281647,0.9542763233184814,
1800,6.1847639340591485,6.186269645760378,2.484375,2.5000360012054443,4.0,318.0,2,0.53125,1.0,1.0,1.0,0.11084255576133728,0.9511996507644653,
1900,5.849050496561961,5.880304763412506,2.578125,2.5496110916137695,4.0,330.0,2,0.65625,1.0,1.0,1.0,0.09997488558292389,0.9616276025772095,
2000,5.873615547572804,5.907382251765698,2.5,2.5134549140930176,4.0,320.0,2,0.5,1.0,1.0,1.0,0.09369257092475891,0.9672418832778931,
2100,5.819337830964585,5.800405189570275,2.5,2.5218443870544434,4.0,320.0,2,0.5,1.0,1.0,1.0,0.1011890321969986,0.9581899642944336,
2200,5.981773114646637,5.988068668936402,2.515625,2.5026373863220215,4.0,322.0,2,0.53125,1.0,1.0,1.0,0.10951957106590271,0.9562602639198303,
2300,6.145857363777432,6.122828945544117,2.484375,2.5007338523864746,4.0,318.0,2,0.53125,1.0,1.0,1.0,0.11573637276887894,0.9552336931228638,
2400,5.500365547770284,5.460140268756636,2.53125,2.539173126220703,4.0,324.0,2,0.5625,1.0,1.0,1.0,0.10719618201255798,0.9622581005096436,
2500,5.542927907679071,5.4985095893551525,2.59375,2.5933666229248047,4.0,332.0,2,0.6875,1.0,1.0,1.0,0.11257748305797577,0.9578741788864136,
2600,5.337887416826342,5.293540672008937,2.546875,2.5489373207092285,4.0,326.0,2,0.59375,1.0,1.0,1.0,0.11323173344135284,0.9573311805725098,
2700,5.3717822023961865,5.335356713022274,2.515625,2.510521411895752,4.0,322.0,2,0.53125,1.0,1.0,1.0,0.11245062202215195,0.9601092338562012,
2800,5.532674346833751,5.5022398424030134,2.53125,2.551025152206421,4.0,324.0,2,0.5625,1.0,1.0,1.0,0.11881019175052643,0.9556616544723511,
2900,5.083792334434902,5.0575390323378135,2.53125,2.5448429584503174,4.0,324.0,2,0.5625,1.0,1.0,1.0,0.12576591968536377,0.9521089792251587,
3000,5.262159086327239,5.2104469593633365,2.484375,2.493900775909424,4.0,318.0,2,0.53125,1.0,1.0,1.0,0.13772930204868317,0.9501599669456482,
